date,IVZ,KCE
2012-03-06,23.88,31.73
2012-03-07,24.26,32.23
2012-03-08,24.6,32.53
2012-03-09,24.87,32.96
2012-03-12,25.06,32.79
2012-03-13,25.99,33.9111
2012-03-14,25.97,33.81
2012-03-15,26.37,34.47
2012-03-16,26.14,34.26
2012-03-19,26.3,34.52
2012-03-20,26.06,34.45
2012-03-21,26.38,34.41
2012-03-22,25.78,33.89
2012-03-23,26.29,34.24
2012-03-26,26.84,34.78
2012-03-27,26.47,34.47
2012-03-28,26.31,34.18
2012-03-29,26.13,33.8
2012-03-30,26.67,34.01
2012-04-02,26.77,34.32
2012-04-03,26.59,34.3
2012-04-04,25.98,33.64
2012-04-05,26.02,33.54
2012-04-09,25.19,32.89
2012-04-10,24.45,32.01
2012-04-11,24.81,32.32
2012-04-12,25.37,33.02
2012-04-13,24.71,32.09
2012-04-16,24.68,32.19
2012-04-17,25.07,32.68
2012-04-18,24.5,32.32
2012-04-19,24.29,32.24
2012-04-20,24.18,32.25
2012-04-23,23.72,31.91
2012-04-24,24.03,32.0529
2012-04-25,24.45,32.57
2012-04-26,25.06,32.92
2012-04-27,25.1,33.03
2012-04-30,24.84,32.92
2012-05-01,25.18,32.94
2012-05-02,24.75,32.58
2012-05-03,24.34,32.13
2012-05-04,23.7,31.69
2012-05-07,23.63,31.75
2012-05-08,23.42,31.54
2012-05-09,23.23,31.27
2012-05-10,22.74,31.23
2012-05-11,23.25,31.13
2012-05-14,22.56,30.55
2012-05-15,22.49,30.33
2012-05-16,22.06,30.0
2012-05-17,21.61,29.48
2012-05-18,21.13,29.0
2012-05-21,21.48,29.54
2012-05-22,21.36,29.56
2012-05-23,21.63,29.67
2012-05-24,21.6,29.79
2012-05-25,21.54,29.79
2012-05-29,21.96,30.27
2012-05-30,21.55,29.75
2012-05-31,21.75,29.83
2012-06-01,20.85,28.79
2012-06-04,20.79,28.5
2012-06-05,21.54,28.8748
2012-06-06,22.46,29.82
2012-06-07,22.48,30.171
2012-06-08,22.82,30.11
2012-06-11,22.35,29.71
2012-06-12,21.97,29.92
2012-06-13,21.66,29.79
2012-06-14,21.91,30.09
2012-06-15,22.03,30.3
2012-06-18,21.79,30.19
2012-06-19,22.36,30.77
2012-06-20,22.2,30.7
2012-06-21,21.52,29.92
2012-06-22,21.72,30.21
2012-06-25,21.18,29.42
2012-06-26,21.49,29.6
2012-06-27,21.62,29.98
2012-06-28,21.81,30.1
2012-06-29,22.6,30.95
2012-07-02,22.56,31.25
2012-07-03,22.88,31.48
2012-07-05,22.26,31.19
2012-07-06,22.14,30.86
2012-07-09,21.88,30.57
2012-07-10,22.03,30.46
2012-07-11,22.19,30.44
2012-07-12,21.87,30.14
2012-07-13,22.65,30.87
2012-07-16,22.11,30.85
2012-07-17,22.13,30.88
2012-07-18,22.32,30.86
2012-07-19,22.34,30.52
2012-07-20,21.54,29.91
2012-07-23,21.21,29.58
2012-07-24,20.69,29.25
2012-07-25,20.49,29.33
2012-07-26,20.91,29.71
2012-07-27,22.12,30.47
2012-07-30,22.27,30.44
2012-07-31,22.13,30.24
2012-08-01,21.9,29.77
2012-08-02,21.71,29.19
2012-08-03,22.61,30.23
2012-08-06,22.52,30.25
2012-08-07,23.11,30.8452
2012-08-08,23.11,30.7
2012-08-09,23.59,30.921
2012-08-10,23.7,30.96
2012-08-13,23.74,30.98
2012-08-14,23.63,30.92
2012-08-15,23.79,31.07
2012-08-16,24.06,31.38
2012-08-17,24.04,31.46
2012-08-20,23.8,31.5
2012-08-21,23.89,31.61
2012-08-22,23.92,31.53
2012-08-23,23.66,31.24
2012-08-24,23.8,31.41
2012-08-27,23.65,31.23
2012-08-28,23.83,31.48
2012-08-29,23.7,31.61
2012-08-30,23.49,31.42
2012-08-31,23.68,31.58
2012-09-04,23.82,31.85
2012-09-05,23.85,31.84
2012-09-06,24.77,32.59
2012-09-07,25.01,32.93
2012-09-10,24.6,32.8
2012-09-11,24.79,32.92
2012-09-12,24.98,33.18
2012-09-13,25.65,33.77
2012-09-14,25.82,34.14
2012-09-17,25.85,33.89
2012-09-18,25.71,33.681
2012-09-19,25.58,33.61
2012-09-20,25.46,33.28
2012-09-21,25.39,33.21
2012-09-24,25.35,32.98
2012-09-25,24.86,32.3
2012-09-26,24.6,32.0965
2012-09-27,25.1,32.47
2012-09-28,24.99,32.34
2012-10-01,25.11,32.531
2012-10-02,25.07,32.45
2012-10-03,25.37,32.51
2012-10-04,25.68,32.88
2012-10-05,25.51,33.27
2012-10-08,25.49,32.873
2012-10-09,25.18,32.6334
2012-10-10,24.97,32.47
2012-10-11,25.01,32.66
2012-10-12,24.71,32.21
2012-10-15,24.74,32.5
2012-10-16,25.02,32.95
2012-10-17,25.3,33.565
2012-10-18,25.19,33.34
2012-10-19,24.63,32.74
2012-10-22,24.53,32.553
2012-10-23,24.06,32.24
2012-10-24,24.08,32.33
2012-10-25,24.19,32.59
2012-10-26,24.25,32.67
2012-10-31,24.32,32.809
2012-11-01,24.74,33.45
2012-11-02,24.4,33.11
2012-11-05,24.47,33.3104
2012-11-06,24.67,33.54
2012-11-07,23.9,32.43
2012-11-08,23.75,32.25
2012-11-09,23.9,32.201
2012-11-12,24.07,32.361
2012-11-13,23.94,32.12
2012-11-14,23.32,31.29
2012-11-15,23.21,31.64
2012-11-16,23.4,31.69
2012-11-19,24.04,32.52
2012-11-20,24.25,32.68
2012-11-21,24.32,32.66
2012-11-23,24.83,32.882
2012-11-26,24.77,32.978
2012-11-27,24.74,32.97
2012-11-28,24.78,33.1499
2012-11-29,25.03,33.23
2012-11-30,24.99,33.13
2012-12-03,24.75,33.2
2012-12-04,24.6,33.01
2012-12-05,24.46,33.1835
2012-12-06,24.77,33.23
2012-12-07,24.86,33.3466
2012-12-10,24.85,33.21
2012-12-11,24.97,33.642
2012-12-12,25.42,33.6725
2012-12-13,25.25,33.52
2012-12-14,25.46,33.56
2012-12-17,25.78,34.29
2012-12-18,26.3,34.78
2012-12-19,26.08,34.942
2012-12-20,26.34,35.11
2012-12-21,26.23,34.2
2012-12-24,26.26,34.11
2012-12-26,26.15,33.93
2012-12-27,25.97,33.69
2012-12-28,25.78,33.61
2012-12-31,26.09,34.11
2013-01-02,26.96,35.1301
2013-01-03,27.01,35.1399
2013-01-04,27.56,35.732
2013-01-07,27.48,35.7848
2013-01-08,27.23,35.56
2013-01-09,27.37,35.73
2013-01-10,27.56,36.08
2013-01-11,27.74,36.26
2013-01-14,27.34,36.17
2013-01-15,27.53,36.26
2013-01-16,27.23,36.12
2013-01-17,27.48,36.4799
2013-01-18,27.66,36.86
2013-01-22,27.89,37.27
2013-01-23,27.59,37.17
2013-01-24,27.77,37.16
2013-01-25,28.2,37.44
2013-01-28,27.99,37.44
2013-01-29,28.33,37.8
2013-01-30,28.28,37.79
2013-01-31,27.25,37.94
2013-02-01,27.77,38.31
2013-02-04,27.28,37.964
2013-02-05,27.59,38.3899
2013-02-06,27.5,38.54
2013-02-07,27.34,38.44
2013-02-08,27.31,38.65
2013-02-11,27.43,38.74
2013-02-12,27.71,39.0134
2013-02-13,27.63,39.16
2013-02-14,27.78,39.47
2013-02-15,27.36,39.42
2013-02-19,27.66,39.78
2013-02-20,27.16,38.9868
2013-02-21,26.3,38.19
2013-02-22,26.59,38.8
2013-02-25,25.93,37.94
2013-02-26,25.64,38.0
2013-02-27,26.44,38.59
2013-02-28,26.79,38.52
2013-03-01,26.83,38.39
2013-03-04,27.46,38.75
2013-03-05,27.7,39.24
2013-03-06,27.78,39.4726
2013-03-07,27.94,39.72
2013-03-08,28.11,39.96
2013-03-11,28.25,40.15
2013-03-12,28.12,39.93
2013-03-13,28.45,40.3
2013-03-14,28.83,40.43
2013-03-15,29.13,40.18
2013-03-18,28.91,39.7359
2013-03-19,28.35,39.18
2013-03-20,28.6,39.64
2013-03-21,28.27,39.0599
2013-03-22,28.39,39.04
2013-03-25,28.32,38.9
2013-03-26,28.74,39.12
2013-03-27,28.65,39.0919
2013-03-28,28.96,39.27
2013-04-01,28.37,38.67
2013-04-02,28.83,38.96
2013-04-03,28.14,37.9431
2013-04-04,28.69,38.15
2013-04-05,28.37,37.94
2013-04-08,28.76,38.38
2013-04-09,28.88,38.52
2013-04-10,29.88,39.4
2013-04-11,30.18,39.49
2013-04-12,30.13,39.14
2013-04-15,28.95,37.87
2013-04-16,29.51,38.3
2013-04-17,28.68,37.49
2013-04-18,28.32,36.86
2013-04-19,28.89,37.34
2013-04-22,29.2,37.58
2013-04-23,29.69,38.3
2013-04-24,29.68,38.31
2013-04-25,29.7,38.39
2013-04-26,29.55,38.3
2013-04-29,29.71,38.66
2013-04-30,31.74,39.1
2013-05-01,31.44,38.2
2013-05-02,31.8,38.72
2013-05-03,32.46,39.37
2013-05-06,32.58,39.67
2013-05-07,32.61,39.839
2013-05-08,33.0,40.21
2013-05-09,32.97,40.12
2013-05-10,34.11,40.35
2013-05-13,34.04,40.62
2013-05-14,34.48,41.49
2013-05-15,34.6,41.71
2013-05-16,34.3,41.87
2013-05-17,34.59,42.29
2013-05-20,34.6,42.3552
2013-05-21,34.44,42.26
2013-05-22,34.04,41.52
2013-05-23,33.54,41.26
2013-05-24,33.56,41.23
2013-05-28,34.49,42.14
2013-05-29,34.17,41.9636
2013-05-30,34.64,42.36
2013-05-31,33.74,41.7
2013-06-03,33.46,41.33
2013-06-04,33.3,41.23
2013-06-05,32.58,40.15
2013-06-06,33.14,40.84
2013-06-07,34.44,41.74
2013-06-10,34.26,41.789
2013-06-11,33.62,40.98
2013-06-12,33.16,40.42
2013-06-13,34.01,41.35
2013-06-14,33.52,40.89
2013-06-17,34.35,41.7
2013-06-18,34.54,41.99
2013-06-19,34.01,41.35
2013-06-20,32.8,39.99
2013-06-21,32.81,39.53
2013-06-24,31.3,38.61
2013-06-25,31.5,39.34
2013-06-26,31.92,39.55
2013-06-27,32.51,40.292
2013-06-28,31.8,39.96
2013-07-01,31.75,40.25
2013-07-02,31.49,40.19
2013-07-03,31.45,39.97
