date,CSCO,XLK
2011-06-28,15.13,25.18
2011-06-29,15.335,25.38
2011-06-30,15.61,25.7
2011-07-01,15.86,26.12
2011-07-05,15.67,26.16
2011-07-06,15.56,26.28
2011-07-07,15.9,26.6
2011-07-08,15.74,26.47
2011-07-11,15.43,26.03
2011-07-12,15.6,25.8
2011-07-13,15.57,25.86
2011-07-14,15.43,25.64
2011-07-15,15.59,25.92
2011-07-18,15.435,25.83
2011-07-19,15.66,26.45
2011-07-20,15.82,26.37
2011-07-21,16.35,26.49
2011-07-22,16.46,26.72
2011-07-25,16.28,26.65
2011-07-26,16.29,26.77
2011-07-27,15.69,26.06
2011-07-28,16.01,26.02
2011-07-29,15.97,25.81
2011-08-01,15.83,25.79
2011-08-02,15.46,25.25
2011-08-03,15.49,25.51
2011-08-04,14.82,24.48
2011-08-05,14.94,24.33
2011-08-08,13.94,22.96
2011-08-09,14.055,24.01
2011-08-10,13.73,23.07
2011-08-11,15.92,23.95
2011-08-12,15.99,24.121
2011-08-15,16.03,24.55
2011-08-16,16.0,24.37
2011-08-17,15.85,24.26
2011-08-18,15.01,23.08
2011-08-19,15.08,22.52
2011-08-22,15.01,22.64
2011-08-23,15.44,23.47
2011-08-24,15.46,23.68
2011-08-25,15.08,23.34
2011-08-26,15.32,23.8
2011-08-29,15.74,24.4
2011-08-30,15.63,24.5
2011-08-31,15.67,24.44
2011-09-01,15.82,24.17
2011-09-02,15.41,23.62
2011-09-06,15.28,23.51
2011-09-07,15.88,24.12
2011-09-08,16.29,24.0
2011-09-09,15.82,23.49
2011-09-12,16.09,23.77
2011-09-13,16.35,24.05
2011-09-14,16.33,24.41
2011-09-15,16.67,24.8
2011-09-16,16.62,24.98
2011-09-19,16.51,24.92
2011-09-20,16.53,24.86
2011-09-21,15.84,24.49
2011-09-22,15.33,23.73
2011-09-23,15.61,24.0
2011-09-26,15.99,24.3
2011-09-27,16.07,24.61
2011-09-28,15.84,24.26
2011-09-29,15.85,24.21
2011-09-30,15.5,23.6
2011-10-03,15.19,23.07
2011-10-04,15.58,23.54
2011-10-05,16.16,24.03
2011-10-06,16.75,24.39
2011-10-07,16.66,24.3
2011-10-10,17.09,25.05
2011-10-11,16.99,25.16
2011-10-12,17.25,25.27
2011-10-13,17.42,25.55
2011-10-14,17.55,26.0
2011-10-17,17.17,25.59
2011-10-18,17.51,25.82
2011-10-19,17.16,25.32
2011-10-20,17.19,25.21
2011-10-21,17.38,25.53
2011-10-24,17.54,25.93
2011-10-25,17.62,25.52
2011-10-26,17.61,25.63
2011-10-27,18.44,26.39
2011-10-28,18.56,26.48
2011-10-31,18.53,26.01
2011-11-01,17.59,25.29
2011-11-02,17.85,25.6
2011-11-03,18.18,26.21
2011-11-04,18.03,26.05
2011-11-07,18.01,26.21
2011-11-08,18.31,26.51
2011-11-09,17.61,25.59
2011-11-10,18.61,25.67
2011-11-11,19.02,26.16
2011-11-14,18.94,25.96
2011-11-15,19.12,26.31
2011-11-16,18.8,25.92
2011-11-17,18.48,25.42
2011-11-18,18.42,25.21
2011-11-21,18.0,24.77
2011-11-22,17.92,24.73
2011-11-23,17.405,24.14
2011-11-25,17.5,24.01
2011-11-28,18.01,24.8
2011-11-29,17.68,24.67
2011-11-30,18.64,25.62
2011-12-01,18.58,25.76
2011-12-02,18.55,25.74
2011-12-05,18.79,26.03
2011-12-06,18.73,26.02
2011-12-07,18.99,26.05
2011-12-08,18.57,25.64
2011-12-09,18.88,26.04
2011-12-12,18.53,25.71
2011-12-13,18.47,25.47
2011-12-14,17.98,25.08
2011-12-15,18.04,25.02
2011-12-16,17.94,24.98
2011-12-19,17.69,24.74
2011-12-20,18.405,25.435
2011-12-21,17.92,25.02
2011-12-22,18.13,25.31
2011-12-23,18.465,25.56
2011-12-27,18.58,25.6
2011-12-28,18.16,25.34
2011-12-29,18.25,25.53
2011-12-30,18.08,25.45
2012-01-03,18.63,25.81
2012-01-04,18.99,25.88
2012-01-05,18.92,25.96
2012-01-06,18.85,25.97
2012-01-09,18.97,25.93
2012-01-10,18.83,26.02
2012-01-11,19.07,26.1
2012-01-12,19.15,26.23
2012-01-13,19.06,26.08
2012-01-17,19.305,26.2
2012-01-18,19.54,26.58
2012-01-19,19.79,26.77
2012-01-20,19.92,26.8
2012-01-23,19.83,26.89
2012-01-24,19.815,26.87
2012-01-25,19.83,27.08
2012-01-26,19.83,26.9
2012-01-27,19.56,26.9
2012-01-30,19.56,26.98
2012-01-31,19.645,27.03
2012-02-01,19.8,27.3
2012-02-02,19.8,27.37
2012-02-03,20.09,27.715
2012-02-06,20.19,27.73
2012-02-07,20.2,27.8
2012-02-08,20.43,27.97
2012-02-09,20.0,28.24
2012-02-10,19.895,28.03
2012-02-13,20.03,28.21
2012-02-14,20.07,28.26
2012-02-15,19.91,28.11
2012-02-16,20.19,28.52
2012-02-17,20.29,28.52
2012-02-21,20.36,28.64
2012-02-22,20.12,28.54
2012-02-23,20.23,28.65
2012-02-24,20.14,28.82
2012-02-27,20.17,28.87
2012-02-28,20.2,29.08
2012-02-29,19.88,28.945
2012-03-01,19.88,29.12
2012-03-02,19.76,29.08
2012-03-05,19.6,28.83
2012-03-06,19.48,28.545
2012-03-07,19.41,28.76
2012-03-08,19.68,29.05
2012-03-09,19.8,29.18
2012-03-12,19.83,29.22
2012-03-13,20.22,29.8
2012-03-14,20.195,29.91
2012-03-15,19.91,29.99
2012-03-16,20.03,29.88
2012-03-19,20.14,30.1
2012-03-20,20.57,30.07
2012-03-21,20.5,30.06
2012-03-22,20.38,29.99
2012-03-23,20.53,29.985
2012-03-26,20.84,30.43
2012-03-27,20.91,30.42
2012-03-28,21.08,30.31
2012-03-29,21.03,30.25
2012-03-30,21.15,30.16
2012-04-02,21.19,30.48
2012-04-03,20.82,30.46
2012-04-04,20.36,30.1
2012-04-05,20.22,30.17
2012-04-09,19.96,29.96
2012-04-10,19.55,29.535
2012-04-11,20.015,29.71
2012-04-12,20.06,30.075
2012-04-13,19.85,29.61
2012-04-16,19.725,29.3
2012-04-17,20.08,29.94
2012-04-18,20.06,29.69
2012-04-19,19.905,29.39
2012-04-20,19.91,29.28
2012-04-23,19.68,29.05
2012-04-24,19.42,28.99
2012-04-25,19.49,29.805
2012-04-26,19.6,30.04
2012-04-27,19.98,30.03
2012-04-30,20.155,29.82
2012-05-01,19.98,29.92
2012-05-02,19.84,29.94
2012-05-03,19.72,29.69
2012-05-04,19.12,29.07
2012-05-07,19.08,28.99
2012-05-08,18.71,28.885
2012-05-09,18.78,28.89
2012-05-10,16.81,28.67
2012-05-11,16.505,28.69
2012-05-14,16.705,28.44
2012-05-15,16.54,28.36
2012-05-16,16.69,28.13
2012-05-17,16.55,27.73
2012-05-18,16.47,27.47
2012-05-21,16.67,28.15
2012-05-22,16.73,28.06
2012-05-23,16.69,28.09
2012-05-24,16.39,27.93
2012-05-25,16.33,27.87
2012-05-29,16.59,28.24
2012-05-30,16.39,28.06
2012-05-31,16.33,27.93
2012-06-01,15.96,27.2
2012-06-04,16.11,27.36
2012-06-05,16.12,27.525
2012-06-06,16.685,28.155
2012-06-07,16.58,28.02
2012-06-08,16.73,28.33
2012-06-11,16.475,27.93
2012-06-12,16.79,28.21
2012-06-13,16.655,28.04
2012-06-14,16.92,28.18
2012-06-15,17.1,28.37
2012-06-18,17.14,28.58
2012-06-19,17.18,28.8
2012-06-20,17.51,28.85
2012-06-21,16.925,28.165
2012-06-22,17.13,28.48
2012-06-25,16.935,27.9
