date,PNC,KBE
2011-10-28,55.07,20.4
2011-10-31,53.71,19.76
2011-11-01,51.38,18.78
2011-11-02,52.6,19.41
2011-11-03,53.41,19.84
2011-11-04,52.67,19.57
2011-11-07,53.76,19.78
2011-11-08,54.56,20.25
2011-11-09,51.81,19.07
2011-11-10,52.65,19.26
2011-11-11,53.87,19.69
2011-11-14,52.81,19.18
2011-11-15,53.61,19.28
2011-11-16,52.82,19.05
2011-11-17,52.02,18.78
2011-11-18,52.69,18.86
2011-11-21,50.97,18.32
2011-11-22,50.21,18.13
2011-11-23,48.88,17.56
2011-11-25,49.07,17.63
2011-11-28,50.25,18.09
2011-11-29,50.83,18.02
2011-11-30,54.21,19.21
2011-12-01,53.47,19.06
2011-12-02,53.97,19.31
2011-12-05,55.18,19.71
2011-12-06,54.97,19.52
2011-12-07,55.96,19.69
2011-12-08,54.4,19.01
2011-12-09,55.91,19.48
2011-12-12,54.62,19.14
2011-12-13,53.85,18.82
2011-12-14,54.05,18.73
2011-12-15,53.9,18.87
2011-12-16,55.09,18.88
2011-12-19,54.38,18.43
2011-12-20,56.15,19.16
2011-12-21,56.88,19.4
2011-12-22,58.0,19.94
2011-12-23,58.57,19.97
2011-12-27,58.37,19.95
2011-12-28,57.48,19.66
2011-12-29,58.3,19.96
2011-12-30,57.67,19.83
2012-01-03,59.03,20.29
2012-01-04,59.22,20.41
2012-01-05,59.81,20.8
2012-01-06,59.91,20.79
2012-01-09,60.4,21.12
2012-01-10,61.57,21.39
2012-01-11,61.65,21.56
2012-01-12,62.09,21.61
2012-01-13,61.73,21.56
2012-01-17,61.24,21.37
2012-01-18,59.64,21.54
2012-01-19,59.4,21.5
2012-01-20,59.63,21.72
2012-01-23,59.73,21.73
2012-01-24,59.52,21.59
2012-01-25,59.62,21.71
2012-01-26,58.9,21.19
2012-01-27,59.08,21.27
2012-01-30,59.02,21.11
2012-01-31,58.92,21.11
2012-02-01,59.86,21.42
2012-02-02,59.81,21.51
2012-02-03,62.2,22.17
2012-02-06,61.07,22.01
2012-02-07,60.7,22.05
2012-02-08,60.43,22.22
2012-02-09,60.39,22.18
2012-02-10,59.67,21.9
2012-02-13,60.09,22.07
2012-02-14,59.56,21.92
2012-02-15,59.51,21.9
2012-02-16,60.7,22.33
2012-02-17,61.14,22.45
2012-02-21,61.26,22.39
2012-02-22,59.71,21.91
2012-02-23,59.68,22.16
2012-02-24,59.38,22.07
2012-02-27,59.42,22.33
2012-02-28,59.54,22.36
2012-02-29,59.52,22.28
2012-03-01,60.29,22.44
2012-03-02,59.61,22.29
2012-03-05,58.76,22.11
2012-03-06,57.14,21.56
2012-03-07,57.92,21.9
2012-03-08,58.73,22.18
2012-03-09,59.4,22.47
2012-03-12,59.5,22.42
2012-03-13,61.94,23.31
2012-03-14,61.35,23.58
2012-03-15,63.0,24.18
2012-03-16,63.42,24.24
2012-03-19,63.64,24.44
2012-03-20,63.49,24.4
2012-03-21,63.45,24.25
2012-03-22,62.6,23.84
2012-03-23,63.36,23.95
2012-03-26,63.99,24.27
2012-03-27,63.11,23.97
2012-03-28,64.7,24.18
2012-03-29,63.95,23.93
2012-03-30,64.49,23.85
2012-04-02,64.72,24.02
2012-04-03,64.7,24.1
2012-04-04,63.87,23.72
2012-04-05,63.53,23.55
2012-04-09,62.64,23.11
2012-04-10,61.75,22.62
2012-04-11,62.47,23.06
2012-04-12,63.41,23.455
2012-04-13,61.28,22.73
2012-04-16,62.14,22.94
2012-04-17,63.41,23.37
2012-04-18,63.78,23.13
2012-04-19,64.6,22.99
2012-04-20,65.38,22.98
2012-04-23,64.98,22.84
2012-04-24,65.57,23.06
2012-04-25,66.26,23.34
2012-04-26,67.22,23.53
2012-04-27,66.73,23.58
2012-04-30,66.32,23.25
2012-05-01,67.33,23.46
2012-05-02,66.73,23.35
2012-05-03,66.27,23.21
2012-05-04,65.26,22.84
2012-05-07,66.05,23.06
2012-05-08,65.89,22.96
2012-05-09,64.63,22.67
2012-05-10,65.53,22.87
2012-05-11,65.48,22.75
2012-05-14,64.26,22.28
2012-05-15,63.39,22.03
2012-05-16,62.52,21.8
2012-05-17,61.64,21.45
2012-05-18,61.33,21.22
2012-05-21,62.26,21.42
2012-05-22,62.02,21.64
2012-05-23,61.91,21.8
2012-05-24,62.2,21.87
2012-05-25,62.09,21.8
2012-05-29,62.8,22.06
2012-05-30,61.35,21.52
2012-05-31,61.42,21.7
2012-06-01,58.07,20.63
2012-06-04,56.84,20.25
2012-06-05,57.23,20.38
2012-06-06,58.7,20.85
2012-06-07,58.63,20.99
2012-06-08,59.35,21.27
2012-06-11,58.17,20.78
2012-06-12,57.5,21.07
2012-06-13,57.81,20.96
2012-06-14,57.9,21.25
2012-06-15,59.01,21.46
2012-06-18,58.06,21.36
2012-06-19,59.54,21.75
2012-06-20,59.86,21.81
2012-06-21,58.64,21.3
2012-06-22,59.15,21.59
2012-06-25,58.56,21.1
2012-06-26,58.86,21.22
2012-06-27,59.6,21.52
2012-06-28,59.51,21.56
2012-06-29,61.11,22.04
2012-07-02,61.49,22.19
2012-07-03,62.14,22.32
2012-07-05,61.09,22.1
2012-07-06,60.7,21.97
2012-07-09,60.24,21.74
2012-07-10,59.66,21.55
2012-07-11,61.41,21.74
2012-07-12,60.35,21.54
2012-07-13,61.42,22.12
2012-07-16,61.11,22.07
2012-07-17,61.59,22.33
