date,JCI,XHB
2011-08-02,36.03,15.851
2011-08-03,36.34,15.88
2011-08-04,34.29,14.96
2011-08-05,33.15,14.84
2011-08-08,30.35,13.57
2011-08-09,31.85,14.13
2011-08-10,30.31,13.4
2011-08-11,32.05,14.03
2011-08-12,32.45,14.26
2011-08-15,32.89,14.67
2011-08-16,32.34,14.54
2011-08-17,31.89,14.33
2011-08-18,29.72,13.47
2011-08-19,28.83,13.18
2011-08-22,28.92,13.17
2011-08-23,30.08,13.49
2011-08-24,30.95,13.86
2011-08-25,29.68,13.89
2011-08-26,30.25,14.31
2011-08-29,31.52,15.0
2011-08-30,31.39,15.17
2011-08-31,31.88,15.07
2011-09-01,30.82,14.77
2011-09-02,29.86,14.22
2011-09-06,29.81,14.16
2011-09-07,30.61,14.65
2011-09-08,29.77,14.305
2011-09-09,28.9,13.86
2011-09-12,28.7,14.0
2011-09-13,28.74,14.1
2011-09-14,29.24,14.5
2011-09-15,30.43,14.62
2011-09-16,30.19,14.59
2011-09-19,30.11,14.44
2011-09-20,29.4,14.33
2011-09-21,27.93,13.81
2011-09-22,26.6,13.26
2011-09-23,26.73,13.44
2011-09-26,27.27,13.88
2011-09-27,28.1,14.02
2011-09-28,26.71,13.575
2011-09-29,27.4,13.83
2011-09-30,26.37,13.29
2011-10-03,25.45,12.55
2011-10-04,27.56,13.2
2011-10-05,27.98,13.66
2011-10-06,28.96,14.06
2011-10-07,28.54,13.83
2011-10-10,29.79,14.49
2011-10-11,30.14,14.51
2011-10-12,31.72,14.77
2011-10-13,31.33,14.71
2011-10-14,32.34,15.03
2011-10-17,31.25,14.49
2011-10-18,32.34,15.35
2011-10-19,31.79,15.18
2011-10-20,31.57,15.4
2011-10-21,32.69,16.025
2011-10-24,33.24,16.49
2011-10-25,32.38,16.03
2011-10-26,32.6,16.38
2011-10-27,33.25,16.98
2011-10-28,33.62,16.58
2011-10-31,32.93,16.14
2011-11-01,31.17,15.52
2011-11-02,31.75,15.87
2011-11-03,32.81,16.16
2011-11-04,32.55,16.17
2011-11-07,32.47,16.26
2011-11-08,32.62,16.62
2011-11-09,30.56,15.817
2011-11-10,30.85,16.0
2011-11-11,31.85,16.49
2011-11-14,31.72,16.31
2011-11-15,31.53,16.48
2011-11-16,31.1,16.35
2011-11-17,29.78,16.07
2011-11-18,29.76,15.99
2011-11-21,28.76,15.61
2011-11-22,28.63,15.56
2011-11-23,27.77,15.07
2011-11-25,27.59,14.96
2011-11-28,29.13,15.51
2011-11-29,28.9,15.72
2011-11-30,31.48,16.54
2011-12-01,31.1,16.63
2011-12-02,31.73,16.79
2011-12-05,32.42,17.12
2011-12-06,32.28,17.15
2011-12-07,32.48,17.22
2011-12-08,31.44,16.66
2011-12-09,31.95,17.14
2011-12-12,31.46,16.92
2011-12-13,29.99,16.33
2011-12-14,28.87,15.83
2011-12-15,28.85,16.04
2011-12-16,28.96,16.13
2011-12-19,28.39,15.95
2011-12-20,29.48,16.79
2011-12-21,29.88,17.03
2011-12-22,30.42,17.095
2011-12-23,31.05,17.085
2011-12-27,31.01,17.005
2011-12-28,30.65,16.65
2011-12-29,31.04,17.25
2011-12-30,31.26,17.1
2012-01-03,32.22,17.37
2012-01-04,32.5,17.58
2012-01-05,32.9,18.03
2012-01-06,33.17,17.93
2012-01-09,33.23,18.03
2012-01-10,34.36,18.35
2012-01-11,34.52,18.65
2012-01-12,35.1,18.65
2012-01-13,35.05,18.43
2012-01-17,34.92,18.47
2012-01-18,35.58,19.12
2012-01-19,32.46,19.17
2012-01-20,31.5,18.68
2012-01-23,31.34,18.6
2012-01-24,31.75,18.9
2012-01-25,31.92,19.3
2012-01-26,31.67,19.05
2012-01-27,31.66,19.2
2012-01-30,31.87,18.94
2012-01-31,31.77,18.67
2012-02-01,31.99,19.24
2012-02-02,32.44,19.45
2012-02-03,33.62,20.29
2012-02-06,33.54,20.23
2012-02-07,33.0,20.155
2012-02-08,32.5,20.21
2012-02-09,33.07,20.25
2012-02-10,32.95,19.955
2012-02-13,33.38,20.35
2012-02-14,33.27,20.12
2012-02-15,33.3,19.86
2012-02-16,34.44,20.02
2012-02-17,35.16,20.1
2012-02-21,35.13,19.85
2012-02-22,34.65,19.56
2012-02-23,33.47,19.94
2012-02-24,33.19,19.65
2012-02-27,33.27,19.97
2012-02-28,33.18,19.91
2012-02-29,32.63,20.125
2012-03-01,33.41,20.07
2012-03-02,33.26,19.805
2012-03-05,32.71,19.9
2012-03-06,31.06,19.3
2012-03-07,31.26,19.75
2012-03-08,31.96,20.21
2012-03-09,32.31,20.61
2012-03-12,31.7,20.74
2012-03-13,32.06,21.41
2012-03-14,32.07,21.29
2012-03-15,32.91,21.83
2012-03-16,32.66,21.51
2012-03-19,32.56,21.54
2012-03-20,32.38,21.37
2012-03-21,32.34,21.6
2012-03-22,31.66,21.33
2012-03-23,32.08,21.23
2012-03-26,32.78,21.485
2012-03-27,32.53,21.67
2012-03-28,32.13,21.72
2012-03-29,32.27,21.57
2012-03-30,32.48,21.35
2012-04-02,32.85,21.19
2012-04-03,32.6,21.19
2012-04-04,31.82,20.99
2012-04-05,31.72,20.99
2012-04-09,31.33,20.82
2012-04-10,30.65,19.94
2012-04-11,30.86,20.51
