date,PHM,XHB
2011-02-17,7.76,18.73
2011-02-18,7.78,18.6825
2011-02-22,7.2,17.9
2011-02-23,7.1,17.6
2011-02-24,6.97,17.57
2011-02-25,6.99,17.9
2011-02-28,6.9,17.85
2011-03-01,6.65,17.33
2011-03-02,6.79,17.5375
2011-03-03,6.75,17.9025
2011-03-04,6.64,17.74
2011-03-07,6.54,17.51
2011-03-08,7.09,18.1275
2011-03-09,7.14,18.25
2011-03-10,7.09,17.75
2011-03-11,7.01,17.87
2011-03-14,6.92,17.6
2011-03-15,7.01,17.94
2011-03-16,6.89,17.535
2011-03-17,6.93,17.6
2011-03-18,7.12,17.78
2011-03-21,7.2,18.0525
2011-03-22,7.14,17.89
2011-03-23,7.4,17.99
2011-03-24,7.42,18.13
2011-03-25,7.57,18.25
2011-03-28,7.66,18.14
2011-03-29,7.65,18.16
2011-03-30,7.44,18.23
2011-03-31,7.4,18.21
2011-04-01,7.48,18.35
2011-04-04,7.33,18.22
2011-04-05,7.43,18.27
2011-04-06,7.59,18.39
2011-04-07,7.79,18.61
2011-04-08,7.82,18.49
2011-04-11,7.78,18.44
2011-04-12,7.7,18.33
2011-04-13,7.69,18.32
2011-04-14,7.66,18.34
2011-04-15,7.82,18.53
2011-04-18,7.84,18.42
2011-04-19,8.24,18.61
2011-04-20,8.15,18.82
2011-04-21,7.78,18.82
2011-04-25,7.8,18.79
2011-04-26,7.79,18.91
2011-04-27,7.98,19.0
2011-04-28,8.24,19.05
2011-04-29,8.13,19.05
2011-05-02,7.96,18.88
2011-05-03,7.78,18.69
2011-05-04,8.0,18.58
2011-05-05,8.02,18.7
2011-05-06,7.96,18.72
2011-05-09,7.79,18.72
2011-05-10,7.77,18.93
2011-05-11,7.52,18.63
2011-05-12,7.66,18.75
2011-05-13,7.6,18.56
2011-05-16,7.61,18.36
2011-05-17,7.61,18.24
2011-05-18,7.57,18.51
2011-05-19,7.57,18.53
2011-05-20,7.73,18.43
2011-05-23,7.53,18.2
2011-05-24,7.47,18.12
2011-05-25,7.49,18.32
2011-05-26,7.86,18.53
2011-05-27,8.2,18.7
2011-05-31,8.44,18.9
2011-06-01,8.04,18.41
2011-06-02,7.8,18.22
2011-06-03,7.82,17.9
2011-06-06,7.41,17.55
2011-06-07,7.21,17.47
2011-06-08,6.97,17.2
2011-06-09,7.04,17.4
2011-06-10,6.93,17.07
2011-06-13,6.97,17.17
2011-06-14,7.24,17.59
2011-06-15,7.0,17.195
2011-06-16,7.11,17.29
2011-06-17,7.19,17.43
2011-06-20,7.29,17.68
2011-06-21,7.46,18.01
2011-06-22,7.49,17.89
2011-06-23,7.58,18.1
2011-06-24,7.52,17.89
2011-06-27,7.68,17.92
2011-06-28,7.89,18.14
2011-06-29,7.58,18.01
2011-06-30,7.66,18.06
2011-07-01,7.82,18.45
2011-07-05,7.71,18.39
2011-07-06,7.58,18.35
2011-07-07,7.84,18.51
2011-07-08,7.77,18.3
2011-07-11,7.41,17.83
2011-07-12,7.29,17.769
2011-07-13,7.24,17.83
2011-07-14,7.09,17.68
2011-07-15,7.09,17.58
2011-07-18,6.94,17.31
2011-07-19,7.18,17.77
2011-07-20,7.19,17.74
2011-07-21,7.41,17.86
2011-07-22,7.34,17.7
2011-07-25,7.29,17.5
2011-07-26,7.27,17.265
2011-07-27,7.0,16.85
2011-07-28,6.8,16.72
2011-07-29,6.87,16.78
2011-08-01,6.69,16.58
2011-08-02,6.25,15.851
2011-08-03,6.04,15.88
2011-08-04,5.54,14.96
2011-08-05,5.28,14.84
2011-08-08,4.6,13.57
2011-08-09,4.67,14.13
2011-08-10,4.24,13.4
