date,ODP,XRT
2011-03-07,5.21,48.38
2011-03-08,5.25,48.65
2011-03-09,5.29,48.99
2011-03-10,5.22,48.61
2011-03-11,5.34,49.23
2011-03-14,5.27,48.771
2011-03-15,5.21,48.71
2011-03-16,5.05,48.17
2011-03-17,4.95,47.99
2011-03-18,5.04,47.87
2011-03-21,4.98,48.77
2011-03-22,4.85,48.33
2011-03-23,4.77,48.68
2011-03-24,4.85,49.46
2011-03-25,4.84,49.93
2011-03-28,4.7,49.6
2011-03-29,4.74,50.19
2011-03-30,4.7,51.13
2011-03-31,4.63,50.8
2011-04-01,4.21,51.06
2011-04-04,4.17,50.88
2011-04-05,4.36,51.97
2011-04-06,4.34,52.109
2011-04-07,4.31,52.55
2011-04-08,4.2,51.97
2011-04-11,4.19,51.96
2011-04-12,4.24,51.66
2011-04-13,4.23,51.72
2011-04-14,4.15,51.75
2011-04-15,4.11,52.15
2011-04-18,4.11,51.68
2011-04-19,4.12,51.69
2011-04-20,4.27,52.79
2011-04-21,4.24,52.8
2011-04-25,4.14,52.78
2011-04-26,4.36,52.95
2011-04-27,4.48,53.68
2011-04-28,4.45,53.62
2011-04-29,4.31,53.31
2011-05-02,4.31,52.93
2011-05-03,4.27,52.69
2011-05-04,4.18,52.62
2011-05-05,4.2,52.6
2011-05-06,4.33,52.72
2011-05-09,4.2,52.97
2011-05-10,4.27,53.78
2011-05-11,4.41,53.54
2011-05-12,4.68,54.4
2011-05-13,4.72,54.1
2011-05-16,4.49,53.21
2011-05-17,4.4,53.05
2011-05-18,4.16,53.6
2011-05-19,4.13,53.32
2011-05-20,4.08,52.41
2011-05-23,4.02,52.26
2011-05-24,4.165,52.38
2011-05-25,4.2,52.36
2011-05-26,4.12,53.23
2011-05-27,4.16,53.69
2011-05-31,4.21,54.14
2011-06-01,4.05,52.57
2011-06-02,4.08,52.0
2011-06-03,3.87,51.23
2011-06-06,3.62,50.34
2011-06-07,3.6,50.3
2011-06-08,3.57,49.67
2011-06-09,3.65,50.35
2011-06-10,3.41,49.48
2011-06-13,3.33,49.64
2011-06-14,3.75,50.9
2011-06-15,3.91,50.13
2011-06-16,3.83,50.18
2011-06-17,3.82,50.59
2011-06-20,4.07,51.71
2011-06-21,4.19,52.74
2011-06-22,4.26,51.93
2011-06-23,4.25,52.65
2011-06-24,4.17,51.96
2011-06-27,4.12,52.36
2011-06-28,4.25,53.47
2011-06-29,4.18,53.2
2011-06-30,4.22,53.38
2011-07-01,4.31,54.44
2011-07-05,4.16,54.5
2011-07-06,4.16,54.66
2011-07-07,4.42,56.34
2011-07-08,4.24,55.91
