date,URBN,XRT,beta,value,price
2010-10-11,30.82,43.33,0.8404744333019661,-5.597757194974193,24.402242805025807
2010-10-12,31.21,43.8,0.8372391775892318,-5.461075978408353,24.538924021591647
2010-10-13,31.79,43.71,0.8339599609879619,-4.662389894783814,25.337610105216186
2010-10-14,31.27,43.55,0.8307366495287505,-4.908581086977083,25.091418913022917
2010-10-15,31.0,44.03,0.8274438332015273,-5.432351975863249,24.56764802413675
2010-10-18,31.18,44.12,0.8237933276188905,-5.1657616145454455,24.834238385454555
2010-10-19,29.28,42.83,0.8203431076150361,-5.855295299151997,24.144704700848003
2010-10-20,29.4,43.23,0.816635368537971,-5.903146981896484,24.096853018103516
2010-10-21,29.36,42.98,0.8133090281439969,-5.596022029628983,24.403977970371017
2010-10-22,30.28,43.34,0.8101035107025776,-4.8298861538497135,25.170113846150286
2010-10-25,31.16,43.63,0.8073743574749629,-4.0657432166326295,25.93425678336737
2010-10-26,31.81,44.05,0.8049795905509849,-3.649350963770882,26.350649036229118
2010-10-27,31.05,43.49,0.8029020297193898,-3.8682092724962622,26.131790727503738
2010-10-28,30.34,43.45,0.8006954013053562,-4.450215186717731,25.54978481328227
2010-10-29,30.79,43.61,0.7981687994865584,-4.018141345608811,25.98185865439119
2010-11-01,30.31,43.2,0.795376474296563,-4.050263689611523,25.949736310388477
2010-11-02,30.31,43.75,0.7925286339363514,-4.363127734715373,25.636872265284627
2010-11-03,31.54,43.79,0.7894655770662481,-3.0306976197310007,26.969302380269
2010-11-04,31.72,44.93,0.787047931484841,-3.6420635616139094,26.35793643838609
2010-11-05,32.44,45.3,0.7844576783207323,-3.0959328279291753,26.904067172070825
2010-11-08,33.33,45.45,0.7822435964762882,-2.222971459847301,27.7770285401527
2010-11-09,33.27,44.96,0.7804955237166809,-1.8210787463019713,28.17892125369803
2010-11-10,33.43,45.32,0.7787801429231679,-1.8643160772779694,28.13568392272203
2010-11-11,33.1,45.34,0.7765678132129383,-2.109584651074627,27.890415348925373
2010-11-12,32.9,44.6,0.7741703015946837,-1.6279954511228922,28.372004548877108
2010-11-15,32.735,44.5,0.7719364361809763,-1.6161714100534468,28.383828589946553
2010-11-16,36.635,44.27,0.7697883846985154,2.5564682093967193,32.55646820939672
2010-11-17,37.28,45.12,0.769408275195148,2.5642986231949294,32.56429862319493
2010-11-18,36.66,45.38,0.7692063991674115,1.7534136057828604,31.75341360578286
2010-11-19,37.26,46.0,0.7685992045264199,1.9044365917846804,31.90443659178468
2010-11-22,37.35,46.43,0.768239957409405,1.6806187774813282,31.680618777481328
2010-11-23,37.74,46.58,0.768055496011339,1.9639749957918298,31.96397499579183
2010-11-24,38.4,47.33,0.7678958912995726,2.055487464791227,32.05548746479123
2010-11-26,38.46,47.37,0.7678864592536829,2.0852184251530446,32.085218425153045
2010-11-29,38.23,46.96,0.7679345672380864,2.167792722499456,32.167792722499456
2010-11-30,37.79,47.11,0.767730534426021,1.6222145231901521,31.622214523190152
2010-12-01,38.12,47.6825,0.7672578142170142,1.535229273597217,31.535229273597217
2010-12-02,38.32,47.85,0.7668946099016595,1.6240929162055906,31.62409291620559
2010-12-03,38.26,48.08,0.766305698813466,1.4160220010485531,31.416022001048553
2010-12-06,37.88,48.0425,0.7655887996585382,1.0992000924046863,31.099200092404686
2010-12-07,38.1,47.78,0.7648535748115743,1.5552961955029758,31.555296195502976
2010-12-08,38.32,47.57,0.7643114669156603,1.9617035188220413,31.96170351882204
2010-12-09,37.63,47.86,0.763747757847987,1.0770323093953493,31.07703230939535
2010-12-10,37.2,48.14,0.7627460453524789,0.48140537673166506,30.481405376731665
2010-12-13,36.15,47.45,0.7615447030441748,0.014703840553906389,30.014703840553906
2010-12-14,36.34,47.26,0.7603941837334498,0.4037708767571644,30.403770876757164
2010-12-15,36.62,47.32,0.7595630725646513,0.6774754062406956,30.677475406240696
2010-12-16,36.67,48.06,0.7589113517425871,0.19672043525126526,30.196720435251265
