date,VZ,XLK,beta,value,price
2021-04-13,57.62,142.42,0.42322876209483434,-2.6562402975463044,27.343759702453696
2021-04-14,57.7,140.91,0.42256762214426385,-1.8440036363482122,28.155996363651788
2021-04-15,57.7,143.33,0.4219055361277569,-2.7717204931913955,27.228279506808605
2021-04-16,58.28,143.3,0.4212261576333813,-2.0817083888635395,27.91829161113646
2021-04-19,58.39,142.11,0.4207294156224754,-1.3998572541099819,28.600142745890018
2021-04-20,58.39,140.85001,0.42040154843887795,-0.8235623016314406,29.17643769836856
2021-04-21,58.14,142.27,0.42009525202697195,-1.626951505877301,28.3730484941227
2021-04-22,57.28,140.60001,0.4196171091183919,-1.718169738216993,28.281830261783007
2021-04-23,57.3,142.7,0.4193547844930709,-2.5419277471612176,27.458072252838782
2021-04-26,56.94,143.42999,0.4190244131401046,-3.1606673864410695,26.83933261355893
2021-04-27,56.32,143.08,0.4186053654656106,-3.57405569081957,26.42594430918043
2021-04-28,56.43,141.75,0.4180485957161952,-2.8283884427706667,27.171611557229333
2021-04-29,57.32,141.63,0.41780092265671515,-1.853144675870567,28.146855324129433
2021-04-30,57.79,139.7,0.4177408494545253,-0.5683966687971775,29.431603331202822
2021-05-03,57.92,139.31,0.41778666750254867,-0.2818606497800573,29.718139350219943
2021-05-04,58.6,136.81,0.417937528534809,1.4219667211527849,31.421966721152785
2021-05-05,58.69,136.48,0.41826433672891555,1.6052833232376074,31.605283323237607
2021-05-06,59.29,137.85001,0.41872714291528806,1.5684591618561115,31.56845916185611
2021-05-07,58.72,139.03,0.4191926049754316,0.4396521302657419,30.439652130265742
2021-05-10,59.52,135.52,0.4195197959471131,2.6666772532472365,32.66667725324724
2021-05-11,58.54,135.11,0.4202501393693833,1.7600036698026145,31.760003669802614
2021-05-12,58.41,131.31,0.42097157697350995,3.132222227608402,33.1322222276084
2021-05-13,58.81,133.05,0.42184474016671264,2.6835573208188777,32.68355732081888
2021-05-14,58.69,135.98,0.4222637908351354,1.2705697222382923,31.270569722238292
2021-05-17,57.94,134.98,0.4224887489155795,0.9124686713750805,30.91246867137508
2021-05-18,57.18,133.89999,0.42272742325530405,0.5768022533890189,30.57680225338902
2021-05-19,56.92,134.37,0.4227725754841627,0.11204903219305606,30.112049032193056
2021-05-20,56.79,136.94,0.4226736238403397,-1.0909260486961188,28.90907395130388
2021-05-21,56.91,136.19,0.4225161734782021,-0.6324776659963476,29.367522334003652
2021-05-24,56.98,138.61,0.42225337973193017,-1.5485409646428465,28.451459035357153
2021-05-25,56.48,138.64999,0.42204600989779056,-2.0366750518685635,27.963324948131437
2021-05-26,56.36,138.64,0.42198284425091676,-2.1437015269470905,27.85629847305291
2021-05-27,56.29,137.91,0.42183985286140074,-1.8859341081157766,28.114065891884223
2021-05-28,56.49,138.39999,0.4215148002222865,-1.8476441356164486,28.15235586438355
2021-06-01,56.38,137.72,0.42112088698864225,-1.6167685560758045,28.383231443924196
2021-06-02,56.65,138.67,0.4207261848851066,-1.6921000580177292,28.30789994198227
2021-06-03,56.98,137.38,0.4200851450883287,-0.7312972322346027,29.268702767765397
2021-06-04,57.3,140.02,0.4198171125090673,-1.4827920935196062,28.517207906480394
2021-06-07,57.2,139.99001,0.41932498393061446,-1.5013086936965578,28.498691306303442
2021-06-08,57.15,140.0,0.41913780732677275,-1.5292930257481885,28.47070697425181
2021-06-09,57.05,140.10001,0.41888445614869274,-1.6357164952764194,28.36428350472358
2021-06-10,57.34,141.13,0.41868124535449386,-1.7484841568797123,28.251515843120288
2021-06-11,57.33,141.97,0.4185090618967992,-2.0857315174885827,27.914268482511417
2021-06-14,57.18,143.41,0.4182727389664257,-2.804493495175109,27.19550650482489
