date,VTR,IYR,beta,value,price
2013-11-29,56.83,63.1,0.9669717780179028,-4.185919192929667,25.814080807070333
2013-12-02,56.26,62.77,0.9657230731918658,-4.358437304253421,25.64156269574658
2013-12-03,55.97,62.7,0.9644318872565922,-4.499879330988335,25.500120669011665
2013-12-04,56.21,62.84,0.9632067625495664,-4.317912958614755,25.682087041385245
2013-12-05,56.68,62.91,0.9621968042948649,-3.8518009581899477,26.148199041810052
2013-12-06,56.35,63.4,0.9613787465202194,-4.6014125293819035,25.398587470618097
2013-12-09,57.26,63.81,0.9604179768230872,-4.024271101081197,25.975728898918803
2013-12-10,57.98,63.81,0.9594278345225608,-3.241090120884607,26.758909879115393
2013-12-11,56.33,62.43,0.9583178529313244,-3.497783558502583,26.502216441497417
2013-12-12,55.26,62.01,0.957217509731765,-4.097057778466748,25.90294222153325
2013-12-13,55.98,62.26,0.9558159468510853,-3.5291008509485735,26.470899149051426
2013-12-16,56.33,62.33,0.9547799168694996,-3.181432218475912,26.818567781524088
2013-12-17,56.58,62.66,0.9538900988011629,-3.190753590880867,26.809246409119133
2013-12-18,57.76,63.76,0.9529921898002263,-3.0027820216624264,26.997217978337574
2013-12-19,56.65,62.98,0.9518812695880629,-3.299482358656199,26.7005176413438
2013-12-20,57.35,63.47,0.9505946780638123,-2.9842442167101595,27.01575578328984
2013-12-23,57.14,62.97,0.9493724048630724,-2.641980334227668,27.358019665772332
2013-12-24,57.13,63.08,0.9483239640437023,-2.690275651876739,27.30972434812326
2013-12-26,57.26,63.15,0.9473872471203721,-2.567504655651504,27.432495344348496
2013-12-27,57.24,63.23,0.9462812884281385,-2.593365867311192,27.406634132688808
2013-12-30,57.69,63.28,0.9450618203329385,-2.11351199066835,27.88648800933165
2013-12-31,57.28,63.08,0.9440810441055915,-2.272632262180707,27.727367737819293
2014-01-02,56.82,62.98,0.9430758683079182,-2.57491818603269,27.42508181396731
2014-01-03,56.79,63.35,0.9419364669607342,-2.881675181962514,27.118324818037486
2014-01-06,58.2,63.61,0.9405383947251029,-1.6276472884637911,28.37235271153621
2014-01-07,58.22,63.83,0.9394385340313318,-1.7443616272199094,28.25563837278009
2014-01-08,57.89,63.73,0.9382202331062602,-1.9027754558619634,28.097224544138037
2014-01-09,58.04,63.7,0.9369754624956181,-1.6453369609708801,28.35466303902912
2014-01-10,60.7,64.46,0.935893173497961,0.37232603632144645,30.372326036321446
2014-01-13,59.9,64.04,0.9353446837101523,0.0005264552018360291,30.000526455201836
2014-01-14,59.94,64.44,0.9346071037923147,-0.2860817683767607,29.71391823162324
2014-01-15,60.29,64.74,0.9337157894004673,-0.15876020578625116,29.84123979421375
2014-01-16,61.2,64.89,0.9328848675860517,0.6651009423411054,30.665100942341105
2014-01-17,60.96,64.68,0.9323640970606681,0.6546902021159795,30.65469020211598
2014-01-21,61.8,65.13,0.931724654187763,1.1167732727509971,31.116773272750997
2014-01-22,61.64,65.3,0.9311859601684855,0.8335568009978971,30.833556800997897
2014-01-23,61.47,65.27,0.9305435382043941,0.7334232613992029,30.733423261399203
2014-01-24,61.39,64.31,0.9296613607301721,1.6034778914426298,31.60347789144263
2014-01-27,61.36,63.92,0.9290741922811169,1.9735776293910092,31.97357762939101
2014-01-28,61.82,64.57,0.9285667235901464,1.862446657784254,31.862446657784254
2014-01-29,61.6,64.27,0.9279879139237244,1.9582167721222419,31.958216772122242
2014-01-30,61.83,65.05,0.9274650691703171,1.4983972504708731,31.498397250470873
2014-01-31,62.39,65.25,0.926833812840368,1.914093712165986,31.914093712165986
2014-02-03,61.55,64.3,0.926248048000351,1.9922505135774315,31.99225051357743
2014-02-04,61.99,64.97,0.9259217867283824,1.8328615162569974,31.832861516256997
2014-02-05,61.54,64.95,0.9255395394370342,1.4262069135646271,31.426206913564627
2014-02-06,61.8,65.43,0.924962347264328,1.279713618495009,31.27971361849501
2014-02-07,61.94,65.87,0.9246811184765691,1.0312547259483864,31.031254725948386
2014-02-10,62.95,66.47,0.9243427545368712,1.508937105934173,31.508937105934173
2014-02-11,62.63,66.7,0.9242759028091555,0.9807972826293252,30.980797282629325
2014-02-12,61.78,66.74,0.9242288465189996,0.0969667833219745,30.096966783321975
2014-02-13,62.6,67.0,0.9239676863989061,0.6941650112732916,30.69416501127329
2014-02-14,61.52,67.27,0.9238218295686033,-0.6254944750799325,29.374505524920068
2014-02-18,61.42,67.67,0.9232700361822976,-1.0576833484560808,28.94231665154392
2014-02-19,61.91,67.65,0.9226161034723027,-0.5049793999012877,29.495020600098712
2014-02-20,61.15,67.53,0.9222903663980482,-1.1322684428601946,28.867731557139805
2014-02-21,60.62,67.64,0.9217170705994072,-1.7249426553439093,28.27505734465609
2014-02-24,61.71,67.75,0.921085695147246,-0.6935558462259195,29.30644415377408
2014-02-25,61.49,67.78,0.9209173985872994,-0.929781276247148,29.070218723752852
2014-02-26,61.94,67.97,0.9208099486352717,-0.6474522087394163,29.352547791260584
