date,C,KBE,beta,value,price
2013-02-06,43.049988,26.01,1.625617952923848,0.7676650444507089,30.76766504445071
2013-02-07,42.869996,26.02,1.6269808529609584,0.5359542059558606,30.53595420595586
2013-02-08,42.679993,26.09,1.6282559946684085,0.19879409910122803,30.198794099101228
2013-02-11,43.149994,26.18,1.6289774081943003,0.5033654534732221,30.503365453473222
2013-02-12,44.349991,26.39,1.629841763116461,1.3384668713565944,31.338466871356594
2013-02-13,44.0,26.38,1.6316530088891548,0.9569936255040972,30.956993625504097
2013-02-14,44.319993,26.31,1.6331217429325768,1.3525599434439002,31.3525599434439
2013-02-15,43.839997,26.22,1.6352137364245225,0.9646928309490193,30.96469283094902
2013-02-19,44.5,26.42,1.6367659488563995,1.256643631213926,31.256643631213926
2013-02-20,43.219986,26.06,1.6387978268485444,0.5129146323269325,30.512914632326932
2013-02-21,42.349991,25.75,1.640398236509988,0.10973640986780708,30.109736409867807
2013-02-22,42.789994,26.04,1.642037633309414,0.03133402862285806,30.031334028622858
2013-02-25,41.149994,25.41,1.643822272102958,-0.6195299341361675,29.380470065863832
2013-02-26,41.289994,25.57,1.645300814106236,-0.7803478166964553,29.219652183303545
2013-02-27,42.159989,25.91,1.646708018023247,-0.5062157469823276,29.493784253017672
2013-02-28,41.969986,26.0,1.64829435077508,-0.8856671201520854,29.114332879847915
2013-03-01,42.109986,26.0,1.6500430381228122,-0.7911329911931162,29.208867008806884
2013-03-04,42.939988,26.23,1.6519808950830213,-0.391470878027647,29.608529121972353
2013-03-05,43.599991,26.35,1.6539571215979738,0.01822084589338857,30.01822084589339
2013-03-06,44.579987,26.46,1.655136752715797,0.7850685231400121,30.785068523140012
2013-03-07,45.0,26.75,1.656542305882914,0.6874933176320468,30.687493317632047
2013-03-08,46.679993,26.85,1.6576760287058263,2.1713916292485678,32.17139162924857
2013-03-11,47.599991,27.06,1.660184404970976,2.6754010014853975,32.6754010014854
2013-03-12,46.949997,26.91,1.663295769977353,2.190707829909435,32.190707829909435
2013-03-13,46.969986,27.04,1.6658398323188808,1.925676934097467,31.925676934097467
2013-03-14,47.459992,27.23,1.6682284611542748,2.0341310027690938,32.034131002769094
2013-03-15,47.259995,27.17,1.6704024882227806,1.875159394987051,31.87515939498705
2013-03-18,46.239991,26.92,1.6721271288926174,1.2263286902107424,31.226328690210742
2013-03-19,45.789994,26.9,1.6736523153523493,0.7687467170218056,30.768746717021806
2013-03-20,46.089997,27.12,1.6748039573358917,0.6693136770506101,30.66931367705061
2013-03-21,45.229996,26.88,1.675693258851712,0.18736120206598628,30.187361202065986
2013-03-22,45.229996,26.93,1.6761882119824474,0.09024745131269185,30.090247451312692
2013-03-25,44.489991,26.91,1.6765867795603016,-0.6269592379677107,29.37304076203229
2013-03-26,44.829987,27.05,1.6763344102994542,-0.5148587986002369,29.485141201399763
2013-03-27,44.459992,26.98,1.676240293242506,-0.7649711116828115,29.23502888831719
2013-03-28,44.239991,26.93,1.6760100626491274,-0.8949599871410001,29.105040012859
2013-04-01,43.789994,26.65,1.675637743620541,-0.8657518674874112,29.13424813251259
2013-04-02,44.109986,26.5,1.6750207107341584,-0.2780628344551985,29.7219371655448
2013-04-03,42.5,26.11,1.674768262521804,-1.2281993344443052,28.771800665555695
2013-04-04,42.76999,26.24,1.6736667999856416,-1.1470268316232364,28.852973168376764
2013-04-05,43.009995,26.24,1.6725131772716075,-0.8767507716069787,29.12324922839302
2013-04-08,43.559998,26.46,1.671403632562277,-0.6653421175978522,29.334657882402148
2013-04-09,43.89,26.58,1.6705469608441175,-0.5131382192366374,29.486861780763363
2013-04-10,45.059998,27.0,1.6695348368581846,-0.017442595170983566,29.982557404829016
2013-04-11,44.869996,26.95,1.6689200755889566,-0.10740003712238178,29.89259996287762
2013-04-12,44.779999,26.62,1.668350389221517,0.36851163892320926,30.36851163892321
2013-04-15,44.869996,25.93,1.6679978370223525,1.6188120860104007,31.6188120860104
2013-04-16,46.659989,26.22,1.6685409519333099,2.9108452403086176,32.91084524030862
2013-04-17,45.739991,25.71,1.6708739760148201,2.7818210766589786,32.78182107665898
2013-04-18,45.089997,25.46,1.6727881337801267,2.5008111139579725,32.50081111395797
2013-04-19,45.029999,25.78,1.6746952966982593,1.8563542511188658,31.856354251118866
2013-04-22,45.149994,25.77,1.675969455322668,1.960261136334843,31.960261136334843
2013-04-23,46.459992,26.09,1.6769435678917435,2.708534313704412,32.70853431370441
2013-04-24,47.119996,26.41,1.6783900720536742,2.7937141970624637,32.793714197062464
2013-04-25,47.109986,26.47,1.6802686336166586,2.633275268167047,32.63327526816705
2013-04-26,46.919999,26.3,1.68223674536987,2.677172596772415,32.677172596772415
2013-04-29,46.819993,26.42,1.684493010495472,2.315687662709621,32.31568766270962
2013-04-30,46.659989,26.4,1.6864221302898335,2.138444760348399,32.1384447603484
2013-05-01,45.869996,26.07,1.6881280051923402,1.8604989046356906,31.86049890463569
2013-05-02,46.539994,26.32,1.6899038069330934,2.0617258015209785,32.06172580152098
2013-05-03,46.969986,26.55,1.691768863611905,2.05352267110392,32.05352267110392
2013-05-06,47.479996,26.87,1.6936631840451737,1.9712662447061788,31.97126624470618
2013-05-07,48.109986,27.21,1.6956714950620204,1.97076461936242,31.97076461936242
2013-05-08,49.289994,27.3,1.69791897615564,2.936805950951026,32.936805950951026
2013-05-09,48.599991,27.18,1.700637245518782,2.3766706667995123,32.37667066679951
2013-05-10,48.75,27.34,1.7025049844480817,2.2035137251894454,32.203513725189445
2013-05-13,48.919999,27.38,1.704506339850293,2.2506154148989737,32.250615414898974
2013-05-14,50.089997,27.8,1.7062950373531027,2.654994961583739,32.65499496158374
2013-05-15,51.339997,28.0,1.7085990336904002,3.499224056668794,33.499224056668794
2013-05-16,50.609986,27.93,1.7113124056224929,2.8130305109637703,32.81303051096377
2013-05-17,51.449997,28.32,1.7140082379982946,2.9092836998882987,32.9092836998883
2013-05-20,51.599991,28.46,1.717022221643587,2.7335385720235124,32.73353857202351
2013-05-21,51.659989,28.44,1.720014098303532,2.742788044247554,32.742788044247554
2013-05-22,51.0,28.02,1.7233470378539684,2.7118159993318045,32.711815999331805
2013-05-23,50.529999,27.96,1.7267633771085777,2.249694976044161,32.24969497604416
2013-05-24,50.51999,28.04,1.7297720242577483,2.0171824398127356,32.017182439812736
2013-05-28,51.789994,28.37,1.7328864873573468,2.6280043536720683,32.62800435367207
2013-05-29,52.279999,28.33,1.7363712369928246,3.088601855993282,33.08860185599328
2013-05-30,53.26999,28.72,1.739954936414719,3.298484226169272,33.29848422616927
2013-05-31,51.989991,28.34,1.743485093267994,2.5796234567850576,32.57962345678506
2013-06-03,51.959992,28.24,1.7460971268600083,2.650209137473368,32.65020913747337
2013-06-04,51.229996,28.0,1.7488491295478505,2.262220372660181,32.26222037266018
2013-06-05,50.029999,27.59,1.7504625936141265,1.734736042186249,31.73473604218625
2013-06-06,50.829987,27.9,1.7514097375850686,1.9656553213765946,31.965655321376595
2013-06-07,51.599991,28.29,1.75276820141905,2.0141785818550773,32.01417858185508
2013-06-10,51.929993,28.53,1.754323833228655,1.879134037986475,31.879134037986475
2013-06-11,49.949997,28.15,1.7557315155382092,0.5261548375994209,30.52615483759942
2013-06-12,49.439988,27.82,1.7563398850854623,0.5786123969224377,30.578612396922438
2013-06-13,50.289994,28.23,1.757338123481203,0.6803387741256373,30.680338774125637
2013-06-14,49.219986,27.87,1.7586729234250256,0.20577162414453198,30.205771624144532
2013-06-17,49.359986,28.02,1.7597849605178286,0.05081140629044256,30.050811406290443
2013-06-18,50.009995,28.25,1.7610730018775964,0.2596826969579027,30.259682696957903
2013-06-19,49.529999,28.06,1.7625686450472755,0.07232281997345069,30.07232281997345
2013-06-20,47.899994,27.91,1.7643924376459363,-1.3441989346980847,28.655801065301915
2013-06-21,46.869996,27.98,1.7653092112925466,-2.5233557319654523,27.476644268034548
2013-06-24,45.439988,27.61,1.7656425908542903,-3.309403933486955,26.690596066513045
2013-06-25,47.0,28.22,1.7655917954822542,-2.8250004685092094,27.17499953149079
2013-06-26,47.609986,28.38,1.765753619673697,-2.502101726339518,27.497898273660482
2013-06-27,48.279999,28.84,1.7657553194382973,-2.6443844126004947,27.355615587399505
2013-06-28,47.969986,28.72,1.7661517697773081,-2.7538928280042896,27.24610717199571
2013-07-01,48.25,29.1,1.766477261601383,-3.1544883126002503,26.84551168739975
2013-07-02,48.149994,29.26,1.766386886257413,-3.534486291891909,26.46551370810809
2013-07-03,47.669999,29.33,1.7659617852496843,-4.12566016137324,25.87433983862676
2013-07-05,48.529999,30.1,1.7650852864088484,-4.599068120906345,25.400931879093655
2013-07-08,49.51999,30.21,1.7635927148967983,-3.75814591703228,26.24185408296772
2013-07-09,50.209992,30.3,1.7626813182210996,-3.1992519420993233,26.800748057900677
2013-07-10,49.62999,29.99,1.7618168717979705,-3.206897985221133,26.793102014778867
2013-07-11,50.039994,29.72,1.7601984931922707,-2.273105217674285,27.726894782325715
2013-07-12,50.809998,30.07,1.7584625009559534,-2.0669694037455173,27.933030596254483
2013-07-15,51.809998,30.28,1.7568441753048971,-1.3872436282322838,28.612756371767716
2013-07-16,51.829987,29.95,1.7557571853550786,-0.7549407013845979,29.245059298615402
2013-07-17,51.789994,30.17,1.7554065774212104,-1.1706224407979207,28.82937755920208
2013-07-18,52.689988,30.8,1.7547112129541802,-1.3551173589887497,28.64488264101125
2013-07-19,52.349991,30.89,1.753468160215459,-1.8146404690555258,28.185359530944474
2013-07-22,53.0,31.2,1.7518574468126389,-1.6579523405543313,28.34204765944567
2013-07-23,52.87999,31.48,1.750383970589392,-2.222097394154062,27.777902605845938
2013-07-24,52.189988,31.6,1.7484684856030113,-3.0616161450551616,26.93838385494484
2013-07-25,52.659989,31.47,1.7461553767988216,-2.2915207078589077,27.708479292141092
2013-07-26,52.209992,31.34,1.7443906096787112,-2.459209707330807,27.540790292669193
2013-07-29,51.64,31.08,1.7426285682499711,-2.5208959012091015,27.4791040987909
2013-07-30,51.779999,31.2,1.7407005568404774,-2.529858373422897,27.470141626577103
2013-07-31,52.14,31.24,1.7387255780325177,-2.1777870577358485,27.82221294226415
2013-08-01,52.859986,31.98,1.7369689221873994,-2.688280131553036,27.311719868446964
2013-08-02,53.0,31.96,1.7348162287737356,-2.444726671608592,27.555273328391408
2013-08-05,52.869996,31.9,1.7322472926509451,-2.3886926355651497,27.61130736443485
2013-08-06,51.479996,31.55,1.7299533703689787,-3.1000328351412776,26.899967164858722
2013-08-07,51.5,31.31,1.7272800398012291,-2.581138046176484,27.418861953823516
2013-08-08,51.779999,31.42,1.724854112524708,-2.414917215526337,27.585082784473663
2013-08-09,51.319993,31.3,1.7222459266218377,-2.586304503263527,27.413695496736473
2013-08-12,50.899994,31.26,1.719016133820852,-2.8364503432398394,27.16354965676016
2013-08-13,51.76999,31.26,1.7159324889505703,-1.8700596045948288,28.12994039540517
2013-08-14,51.589997,31.26,1.7132769905496077,-1.9670417245807457,28.032958275419254
2013-08-15,50.859986,30.93,1.710572656804584,-2.0480262749657854,27.951973725034215
2013-08-16,50.349991,31.05,1.7077495656015629,-2.675633011928525,27.324366988071475
2013-08-19,49.329987,30.69,1.7045144665900114,-2.981561979647452,27.018438020352548
2013-08-20,49.919999,31.12,1.7012799025964052,-3.0238315688001336,26.976168431199866
2013-08-21,49.159989,30.89,1.6980326397564705,-3.292239242077372,26.707760757922628
2013-08-22,49.909989,31.38,1.694209906042562,-3.254317851615589,26.74568214838441
2013-08-23,49.829987,31.21,1.6900430087760616,-2.9162553039008827,27.083744696099117
2013-08-26,49.599991,30.98,1.685823347435128,-2.6268163035402665,27.373183696459733
2013-08-27,48.239991,29.94,1.6821002698065524,-2.122091078008175,27.877908921991825
2013-08-28,48.309998,30.1,1.678594660710201,-2.215701287377051,27.78429871262295
2013-08-29,48.469986,30.24,1.6751763600116065,-2.1873471267509785,27.81265287324902
2013-08-30,48.329987,29.89,1.6720217981177703,-1.6467445457401553,28.353255454259845
2013-09-03,49.369996,29.87,1.6689741536005762,-0.4822619680492153,29.517738031950785
2013-09-04,49.599991,30.07,1.6664344650146172,-0.5096933629895375,29.490306637010463
2013-09-05,49.859986,30.31,1.6638618336231057,-0.5716661771163345,29.428333822883666
2013-09-06,49.219986,30.16,1.6619444756181965,-0.9042593846448099,29.09574061535519
2013-09-09,50.089997,30.29,1.6598224595416862,-0.18602529951767366,29.813974700482326
2013-09-10,51.089997,30.57,1.6579573909561658,0.4062395584700056,30.406239558470006
2013-09-11,50.729996,30.45,1.6566599723968807,0.2846998405149819,30.284699840514982
2013-09-12,50.259995,30.24,1.6553265553606833,0.2029199658929457,30.202919965892946
2013-09-13,50.489991,30.29,1.653781658073709,0.3969445769473552,30.396944576947355
2013-09-16,51.0,30.49,1.652419213782077,0.6177381717844739,30.617738171784474
2013-09-17,51.199997,30.84,1.651864795423959,0.25648670912511307,30.256486709125113
2013-09-18,52.209992,30.72,1.6516803820618606,1.47037066305964,31.47037066305964
2013-09-19,51.949997,30.19,1.652566774817094,2.059006068271934,32.059006068271934
2013-09-20,51.209992,30.12,1.6534906342265487,1.4068540970963497,31.40685409709635
2013-09-23,49.569993,29.78,1.653898894002284,0.31688393661197267,30.316883936611973
2013-09-24,48.959992,29.85,1.6537686181123694,-0.4050012506542302,29.59499874934577
2013-09-25,49.259995,30.08,1.6533127960440934,-0.47165390500632043,29.52834609499368
2013-09-26,48.929993,29.99,1.6529899063150315,-0.6431742903877904,29.35682570961221
2013-09-27,48.89,29.99,1.6527605168292534,-0.6762878997093082,29.32371210029069
2013-09-30,48.509995,30.03,1.652819663048233,-1.1241794813384374,28.875820518661563
2013-10-01,48.599991,30.37,1.65287202861704,-1.597732509099501,28.4022674909005
2013-10-02,48.709992,30.16,1.6522343830639856,-1.1213969932098067,28.878603006790193
2013-10-03,48.399994,30.03,1.6515568944237276,-1.196259539544542,28.803740460455458
2013-10-04,49.14,30.35,1.6508682436986315,-0.963851196253465,29.036148803746535
2013-10-07,48.179993,29.84,1.649837899025383,-1.0511699069174227,28.948830093082577
2013-10-08,47.669999,29.54,1.6486451609732047,-1.030979055148471,28.96902094485153
2013-10-09,47.949997,29.62,1.647093509068838,-0.8369127386189774,29.163087261381023
2013-10-10,49.26999,30.41,1.6453288960315464,-0.7644617283193256,29.235538271680674
2013-10-11,49.219986,30.79,1.6437687693296523,-1.391654407659992,28.608345592340008
2013-10-14,49.599991,30.94,1.6418858812465307,-1.1999581657676615,28.80004183423234
2013-10-15,48.859986,30.65,1.6403361276236157,-1.4163163116638202,28.58368368833618
2013-10-16,50.839997,31.251,1.6385605176469646,-0.3666577369852959,29.633342263014704
2013-10-17,51.119996,31.43,1.6376334698946657,-0.35082395878934136,29.64917604121066
2013-10-18,51.149994,31.56,1.637191241176049,-0.5197615715161064,29.480238428483894
2013-10-21,51.029999,31.59,1.6362662267455426,-0.6596511028916936,29.340348897108306
2013-10-22,50.759995,31.52,1.6353811027636618,-0.7872173591106133,29.212782640889387
2013-10-23,50.189988,31.42,1.6344947274093833,-1.165836335202826,28.834163664797174
2013-10-24,50.149994,31.44,1.633413445667757,-1.2045247317942795,28.79547526820572
