date,HON,XLI,beta,value,price
2021-07-06,218.56,102.3,2.1862811263214055,-5.096559222679758,24.90344077732024
2021-07-07,220.74001,103.32,2.1843106711843534,-4.942968546767361,25.05703145323264
2021-07-08,219.32001,101.88,2.18219374028312,-3.001888260044268,26.998111739955732
2021-07-09,224.34,103.49,2.1801408173979864,-1.2827731925175954,28.717226807482405
2021-07-12,225.02,103.63,2.1783124198323147,-0.7185160672227653,29.281483932777235
2021-07-13,224.08,102.63,2.176607001261577,0.6948234605243897,30.69482346052439
2021-07-14,227.77,102.62,2.17481592672841,4.59038959913056,34.59038959913056
2021-07-15,232.81,102.82,2.173669189579448,9.313333927441164,39.313333927441164
2021-07-16,230.33,101.91,2.173481967478999,8.83045269421524,38.83045269421524
2021-07-19,220.66,99.78,2.173144329456477,3.823658806832725,33.823658806832725
2021-07-20,229.66,102.57,2.172017179070428,6.876197942746188,36.87619794274619
2021-07-21,231.85001,103.55,2.17250077892145,6.88755434268387,36.88755434268387
2021-07-22,232.74001,103.17,2.173375731052987,8.51283582726333,38.51283582726333
2021-07-23,229.32001,103.61,2.174587783911408,4.010969708939001,34.010969708939
2021-07-26,229.25,103.56,2.1750311069453665,4.003778564737843,34.00377856473784
2021-07-27,230.36,102.99,2.175564742738764,6.2985871453347215,36.29858714533472
2021-07-28,230.49001,102.75,2.176375293963895,6.867448545209783,36.86744854520978
2021-07-29,232.88,103.56,2.177628907718806,7.364750316640453,37.36475031664045
2021-07-30,233.78999,103.36,2.178790940551575,8.590158384589188,38.59015838458919
2021-08-02,232.42,102.65,2.1800806117384948,8.63472520504348,38.63472520504348
2021-08-03,232.64999,103.99,2.181242637778884,5.822568097373875,35.822568097373875
2021-08-04,229.59,102.58,2.1823573048622773,5.723787667227612,35.72378766722761
2021-08-05,229.88,103.06,2.183144280269993,4.885150475374502,34.8851504753745
2021-08-06,229.67999,103.54,2.183550665578107,3.5951540860427826,33.59515408604278
2021-08-09,228.23,103.13,2.1843524911903898,2.957727583535103,32.9577275835351
2021-08-10,231.88,104.18,2.1851488800891605,4.231189672311245,34.231189672311245
2021-08-11,234.17999,105.53,2.1860850722265743,3.482432327929615,33.482432327929615
2021-08-12,231.94,105.33,2.186952471070162,1.588296222179821,31.58829622217982
2021-08-13,231.75999,105.0,2.187649016729532,2.056843243399129,32.05684324339913
2021-08-16,233.74001,105.36,2.188387116446808,3.1715434111643503,33.17154341116435
2021-08-17,231.45,104.22,2.1892731859800185,3.2839485571624607,33.28394855716246
2021-08-18,228.42,103.08,2.19019195137822,2.6550136519330465,32.65501365193305
2021-08-19,227.73,102.36,2.190956852538386,3.4636565741708125,33.46365657417081
2021-08-20,227.7,102.63,2.1919056763285663,2.7447204383992414,32.74472043839924
2021-08-23,229.11,103.47,2.1928380623419854,2.217045689474787,32.21704568947479
2021-08-24,230.44,103.99,2.193072277786558,2.3824138329758284,32.38241383297583
2021-08-25,230.66,104.66,2.193398625844329,1.0988998191325265,31.098899819132527
2021-08-26,230.88,104.2,2.193334026697017,2.334594418170809,32.33459441817081
2021-08-27,231.14,104.92,2.193725837136931,0.9742851675931661,30.974285167593166
2021-08-30,231.87,104.8,2.1940737745027326,1.9310684321136478,31.931068432113648
2021-08-31,231.91,104.51,2.194568204172516,2.5556769819303327,32.55567698193033
2021-09-01,229.8,104.11,2.1952136847135737,1.2563032844698512,31.25630328446985
2021-09-02,230.97,105.23,2.1954884395661685,-0.06124849554791467,29.938751504452085
2021-09-03,228.36,104.59,2.195495201255091,-1.2668430992699768,28.733156900730023
2021-09-07,222.92999,102.78,2.1953757941832417,-2.710734126153568,27.289265873846432
2021-09-08,224.39999,102.92,2.195273913682654,-1.5376011962187306,28.46239880378127
2021-09-09,222.92999,102.42,2.1955152909674607,-1.934686100887319,28.06531389911268
2021-09-10,222.37,101.96,2.1959656684080877,-1.5306595508886005,28.4693404491114
