date,F,XLY,beta,value,price
2022-01-07,24.44,199.48,0.09534061041167335,5.421455035079401,35.421455035079404
2022-01-10,23.85,198.25999,0.09593471211428836,4.829984935568312,34.82998493556831
2022-01-11,24.35,200.17,0.09650579964901108,5.032434084257453,35.03243408425745
2022-01-12,24.47,201.49001,0.0971089016107825,4.903526443354416,34.903526443354416
2022-01-13,25.02,197.44,0.09774262130636632,5.721696849271034,35.721696849271034
2022-01-14,25.19,196.52,0.09844839034427015,5.842922329544031,35.84292232954403
2022-01-18,24.38,192.8,0.09912238397494699,5.269204369630216,35.269204369630216
2022-01-19,22.45,189.32001,0.09973793331982513,3.567613466511375,33.567613466511375
2022-01-20,21.65,185.87,0.10024039321779166,3.0183181126090624,33.018318112609066
2022-01-21,20.65,180.42,0.10077160635202992,2.468786781966763,32.46878678196676
2022-01-24,20.39,182.59,0.10127079936952173,1.898964743119027,31.898964743119027
2022-01-25,19.98,179.5,0.1017779196225451,1.7108634277531571,31.710863427753157
2022-01-26,19.91,178.63,0.10219495308842284,1.6549155298150282,31.654915529815028
2022-01-27,19.55,174.3,0.10260264437565747,1.6663590853229024,31.666359085322902
2022-01-28,19.54,178.10001,0.10298090489625092,1.1990998081686612,31.19909980816866
2022-01-31,20.3,184.95,0.10331666383032274,1.19158302458181,31.19158302458181
2022-02-01,20.66,186.07001,0.10364601982849893,1.374584054051006,31.374584054051006
2022-02-02,20.63,184.96001,0.10395680455278332,1.4021483903491507,31.40214839034915
2022-02-03,19.89,179.3,0.10430141360015176,1.1887565414927899,31.18875654149279
2022-02-04,17.96,184.39999,0.10452867143355114,-1.3150859670601172,28.684914032939883
2022-02-07,17.89,184.02,0.10453396898826826,-1.3463409732211247,28.653659026778875
2022-02-08,17.72,186.61,0.10459538581042453,-1.7985449460833252,28.201455053916675
2022-02-09,18.35,189.08,0.10459899843050835,-1.4275786232405174,28.572421376759483
2022-02-10,18.08,185.82001,0.1046416065460148,-1.3645043747965389,28.63549562520346
2022-02-11,17.55,180.48,0.10465913948283734,-1.3388814938624805,28.66111850613752
2022-02-14,17.46,181.50999,0.10472012215545107,-1.5477483252347,28.4522516747653
2022-02-15,18.08,185.57001,0.10476381108723103,-1.3610214710955724,28.638978528904428
2022-02-16,18.01,186.10001,0.1048815172674107,-1.5084514122803014,28.4915485877197
2022-02-17,17.54,181.12,0.1050151307814519,-1.4803404871365693,28.51965951286343
2022-02-18,18.04,180.0,0.10505149071288623,-0.8692683283195244,29.130731671680476
2022-02-22,17.29,174.75,0.10514750993077963,-1.0845273604037402,28.91547263959626
2022-02-23,16.95,168.91,0.1052312810380672,-0.8246156801399316,29.17538431986007
2022-02-24,17.15,172.77,0.10532559712622912,-1.0471034154986079,28.952896584501392
2022-02-25,17.83,176.19,0.10544437999980243,-0.7482453121651922,29.251754687834808
2022-02-28,17.56,177.42999,0.10560221489548885,-1.1769999328844385,28.82300006711556
2022-03-01,16.7,174.74001,0.10565456121925464,-1.7620790839981701,28.23792091600183
2022-03-02,18.1,178.41,0.10566654146827023,-0.7519676633540904,29.24803233664591
2022-03-03,17.6,174.37,0.10578294049236533,-0.8453713336537412,29.15462866634626
2022-03-04,16.85,171.60001,0.10591286671881568,-1.3246489880774348,28.675351011922565
2022-03-07,15.97,163.19,0.10599116824924527,-1.326698746594337,28.67330125340566
2022-03-08,16.03,163.53,0.10609671191683219,-1.3199952997595688,28.68000470024043
2022-03-09,16.37,168.78999,0.10618841193451864,-1.5535409885432792,28.44645901145672
2022-03-10,16.33,169.99001,0.10609607378269711,-1.7052726432814218,28.294727356718578
2022-03-11,16.04,166.72,0.1060309038401555,-1.6374722882307253,28.362527711769275
2022-03-14,15.74,163.94,0.10599588551108552,-1.6369654706873593,28.363034529312642
2022-03-15,16.06,169.42999,0.10597556566986359,-1.8954390316893317,28.10456096831067
2022-03-16,16.58,175.21001,0.105867749984753,-1.9690895335060752,28.030910466493925
2022-03-17,16.58,178.13,0.10578689285429317,-2.2638192241352435,27.736180775864756
