date,WFC,XLF,beta,value,price
2010-06-25,27.05,14.635,1.9826025588650698,-1.9653884489902964,28.034611551009704
2010-06-28,27.03,14.5,1.9811586772220244,-1.6968008197193534,28.303199180280647
2010-06-29,25.93,13.98,1.9799875662969637,-1.7502261768315535,28.249773823168447
2010-06-30,25.6,13.81,1.9790057991456282,-1.730070086201124,28.269929913798876
2010-07-01,25.18,13.68,1.9775465542990125,-1.872836862810491,28.12716313718951
2010-07-02,24.88,13.52,1.9761265541004236,-1.8372310114377264,28.162768988562274
2010-07-06,25.15,13.6,1.9747490623596877,-1.706587248091754,28.293412751908246
2010-07-07,26.66,14.2,1.9735143704163964,-1.3639040599128265,28.636095940087174
2010-07-08,26.64,14.31,1.9725473267326807,-1.5871522455446616,28.41284775445534
2010-07-09,27.0,14.51,1.971662923544782,-1.6088290206347864,28.391170979365214
2010-07-12,27.06,14.53,1.970377371257009,-1.5695832043643385,28.43041679563566
2010-07-13,27.94,14.89,1.9686360879079003,-1.3729913489486343,28.627008651051366
2010-07-14,27.66,14.78,1.9667035528215628,-1.407878510702698,28.592121489297302
2010-07-15,27.81,14.75,1.9645157594790208,-1.1666074523155565,28.833392547684443
2010-07-16,26.24,14.129,1.9622358811226017,-1.4844307643812407,28.51556923561876
2010-07-19,26.02,14.12,1.9602216859726034,-1.658330205933158,28.341669794066842
2010-07-20,25.91,14.27,1.9574716349097971,-2.023120230162803,27.976879769837197
2010-07-21,26.06,14.039,1.9544824956677274,-1.3789797566792252,28.621020243320775
2010-07-22,27.39,14.45,1.9524599735614703,-0.823046617963243,29.176953382036757
2010-07-23,27.42,14.56,1.9508682739076184,-0.9846420680949244,29.015357931905076
2010-07-26,27.91,14.76,1.9486949362036314,-0.8527372583656003,29.1472627416344
2010-07-27,28.39,14.8,1.9465021797546727,-0.4182322603691553,29.581767739630845
2010-07-28,28.07,14.67,1.9439562811487379,-0.4478386444519842,29.552161355548016
2010-07-29,27.69,14.72,1.9410659017544523,-0.8824900738255366,29.117509926174463
2010-07-30,27.73,14.71,1.9377556798247884,-0.7743860502226383,29.22561394977736
2010-08-02,28.57,15.08,1.9346445892238997,-0.6044404054964083,29.39555959450359
2010-08-03,28.12,14.91,1.9319579235020041,-0.6854926394148819,29.314507360585118
2010-08-04,27.93,14.97,1.9291946357219372,-0.9500436967574011,29.0499563032426
2010-08-05,27.88,14.91,1.9252917428452376,-0.8260998858224937,29.173900114177506
2010-08-06,27.75,14.78,1.9213910246885761,-0.6481593448971559,29.351840655102844
2010-08-09,28.23,14.86,1.9170715200517014,-0.2576827879682817,29.74231721203172
2010-08-10,27.77,14.73,1.9132045912252658,-0.4115036287481644,29.588496371251836
2010-08-11,26.3,14.21,1.9094845344334705,-0.833775234299619,29.16622476570038
2010-08-12,26.0,14.11,1.9053328275943022,-0.8842461973556048,29.115753802644395
2010-08-13,25.84,14.07,1.9017816145064068,-0.9180673161051445,29.081932683894856
2010-08-16,25.68,14.03,1.8987730337445763,-0.9597856634364028,29.040214336563597
2010-08-17,25.34,14.14,1.8958403520643716,-1.467182578190215,28.532817421809785
2010-08-18,25.38,14.2,1.8916645581993872,-1.4816367264312973,28.518363273568703
2010-08-19,24.43,13.87,1.8881572603127164,-1.7587412005373757,28.241258799462624
2010-08-20,24.6,13.83,1.8843669250170492,-1.4607945729857903,28.53920542701421
2010-08-23,24.23,13.74,1.8816274417642518,-1.62356104984082,28.37643895015918
2010-08-24,23.64,13.51,1.8784360853810311,-1.7376715134977303,28.26232848650227
2010-08-25,23.6,13.55,1.8752349306913902,-1.8094333108683394,28.19056668913166
2010-08-26,23.49,13.44,1.87177710377095,-1.6666842746815682,28.333315725318432
2010-08-27,24.0,13.73,1.8682444098995636,-1.6509957479210087,28.34900425207899
2010-08-30,23.25,13.44,1.8648300288355004,-1.8133155875491234,28.186684412450877
2010-08-31,23.55,13.5545,1.861256573838345,-1.678402230091848,28.321597769908152
2010-09-01,24.66,14.0815,1.857751809770053,-1.499932109277001,28.500067890723
2010-09-02,25.1,14.22,1.8543670105276553,-1.2690988897032582,28.73090111029674
2010-09-03,25.84,14.519,1.8517098710468438,-1.0449756177291256,28.955024382270874
2010-09-07,24.92,14.185,1.8489120214543886,-1.3068170243305026,28.693182975669497
