date,IVZ,KCE,beta,value,price
2013-08-20,31.46,42.36,0.781939012470532,-1.6629365682517303,28.33706343174827
2013-08-21,31.09,42.02,0.7807527610890878,-1.717231020963471,28.28276897903653
2013-08-22,31.6,42.61,0.7794312311225252,-1.6115647581307968,28.388435241869203
2013-08-23,31.57,42.63,0.7781967019480595,-1.6045254040457735,28.395474595954227
2013-08-26,31.23,42.55,0.7768737062132995,-1.8259761993758907,28.17402380062411
2013-08-27,30.32,41.29,0.7756049511420756,-1.704728432656303,28.295271567343697
2013-08-28,30.49,41.33,0.7743867124219969,-1.5154028244011322,28.484597175598868
2013-08-29,30.86,41.78,0.7732560713739987,-1.4466386620056682,28.553361337994332
2013-08-30,30.36,41.24,0.7721001392796102,-1.4814097438911276,28.518590256108872
2013-09-03,30.59,41.53,0.770899872577958,-1.4254717081625934,28.574528291837407
2013-09-04,30.99,42.21,0.7694445999334717,-1.4882565631918432,28.511743436808157
2013-09-05,30.76,42.3,0.7680165999585626,-1.727102178247197,28.272897821752803
2013-09-06,30.45,42.49,0.7664934745114504,-2.118307731991532,27.881692268008468
2013-09-09,30.83,42.93,0.764812016233779,-2.0033798569161334,27.996620143083867
2013-09-10,31.37,43.69,0.7630706978886549,-1.9685587907553277,28.031441209244672
2013-09-11,31.23,43.51,0.7613693485230532,-1.897180354238042,28.102819645761958
2013-09-12,31.05,43.23,0.759574495588269,-1.786405444280863,28.213594555719137
2013-09-13,31.06,43.4059,0.7578067163308106,-1.83328254838354,28.16671745161646
2013-09-16,31.61,43.81,0.7560243509104907,-1.5114268133886029,28.488573186611397
2013-09-17,31.67,44.2,0.7544465405252168,-1.676537091214584,28.323462908785416
2013-09-18,32.55,44.26,0.7526574065576435,-0.7626168142412979,29.237383185758702
2013-09-19,32.63,44.13,0.7515428398607343,-0.535585523054209,29.46441447694579
2013-09-20,32.63,43.54,0.7506217642447716,-0.0520716152173506,29.94792838478265
2013-09-23,32.48,43.15,0.7497877681211295,0.12665780557325945,30.12665780557326
2013-09-24,32.2,43.05,0.7489867487953157,-0.043879535638332356,29.956120464361668
2013-09-25,32.06,43.09,0.7482843510570112,-0.18357268704661323,29.816427312953387
2013-09-26,32.23,43.04,0.7476114008960774,0.0528053054328268,30.052805305432827
2013-09-27,32.09,42.98,0.7471027043863738,-0.020474234526339785,29.97952576547366
2013-09-30,31.9,42.7,0.7465166488718344,0.023739093172665093,30.023739093172665
2013-10-01,32.22,43.1052,0.7459572249975408,0.06536462503599694,30.065364625035997
2013-10-02,32.36,42.6945,0.7454740318767779,0.5323589460369078,30.532358946036908
