date,PNC,KBE,beta,value,price
2020-12-16,145.25,41.61,3.4446364930460063,1.9186755243556775,31.918675524355677
2020-12-17,145.02,41.5,3.4434411785051764,2.117191092035199,32.1171910920352
2020-12-18,144.91,40.85,3.4426334575921946,4.278423257358838,34.27842325735884
2020-12-21,144.60001,40.86,3.4426418366737876,3.9336645535090327,33.93366455350903
2020-12-22,143.73,40.53,3.4423349388299034,4.212164929224002,34.212164929224
2020-12-23,146.7,41.7,3.4421617757544367,3.161853951039973,33.16185395103997
2020-12-24,146.14999,41.46,3.441464967901037,3.466852430822996,33.466852430822996
2020-12-28,146.53999,41.69,3.4401434428554425,3.120409867356585,33.120409867356585
2020-12-29,144.87,41.04,3.439157431818947,3.726978998150429,33.72697899815043
2020-12-30,146.89,41.55,3.4383945184150537,4.024707759854522,34.02470775985452
2020-12-31,149.0,41.82,3.43813500500104,5.217194090856509,35.21719409085651
2021-01-04,149.14999,41.41,3.439031413038271,6.739699186085204,36.739699186085204
2021-01-05,148.36,41.92,3.440943592680258,4.115644594843587,34.11564459484359
2021-01-06,156.50999,44.81,3.441773501350089,2.2841194045024906,32.28411940450249
2021-01-07,159.0,45.73,3.44190977640927,1.6014659248041028,31.601465924804103
2021-01-08,158.19,45.22,3.4419839499351066,2.5434857839344716,32.54348578393447
2021-01-11,159.38,45.78,3.4427279849863006,1.771912847327144,31.771912847327144
2021-01-12,161.73,46.45,3.4434897505722284,1.7799010859199598,31.77990108591996
2021-01-13,159.10001,46.15,3.4451420367302372,0.1067050048995668,30.106705004899567
2021-01-14,161.5,47.06,3.445366249659512,-0.6389357089766463,29.361064291023354
2021-01-15,154.78,46.04,3.445372086803894,-3.8449308764512864,26.155069123548714
2021-01-19,156.0,46.31,3.4437847547445366,-3.4816719922195034,26.518328007780497
2021-01-20,156.25999,45.96,3.4428953028651157,-1.97547811968073,28.02452188031927
2021-01-21,153.69,45.13,3.4427528700074492,-1.6814370234361888,28.31856297656381
2021-01-22,152.57001,45.44,3.4434900151591243,-3.902176288830617,26.097823711169383
2021-01-25,150.47,45.18,3.4434095554333917,-5.103243714480641,24.89675628551936
2021-01-26,148.06,44.55,3.44219003678115,-5.289566138600236,24.710433861399764
2021-01-27,144.44,43.11,3.4403006531984683,-3.8713611593859696,26.12863884061403
2021-01-28,147.78999,43.86,3.439494758173735,-3.066250093500031,26.93374990649997
2021-01-29,143.52,42.73,3.438872245377937,-3.423011044999214,26.576988955000786
2021-02-01,145.86,43.49,3.438266831900419,-3.6702245193492047,26.329775480650795
2021-02-02,150.39999,44.42,3.436998308443893,-2.271474861077735,27.728525138922265
2021-02-03,152.2,44.78,3.4362962733959987,-1.6773471226728418,28.322652877327158
2021-02-04,156.67999,46.11,3.4357636797373,-1.7430732726868996,28.2569267273131
2021-02-05,156.94,46.04,3.4353244324322474,-1.2223368691806797,28.77766313081932
2021-02-08,158.78999,46.92,3.4359848183973836,-2.426417679205258,27.573582320794742
2021-02-09,158.14,47.37,3.4372341255562273,-4.681780527598505,25.318219472401495
2021-02-10,160.11,47.4,3.4367527382300276,-2.7920797921032943,27.207920207896706
2021-02-11,159.31,47.09,3.437676736482331,-2.5701975209529735,27.429802479047027
2021-02-12,162.27,47.47,3.4392010766988617,-0.9888751108949521,29.011124889105048
2021-02-16,169.91,48.57,3.442188211875711,2.72291854919672,32.72291854919672
2021-02-17,167.55,48.52,3.4464215717646063,0.3296253379812981,30.329625337981298
2021-02-18,166.91,48.0,3.4479559355183436,1.4081150951195127,31.408115095119513
2021-02-19,170.41,49.39,3.4498198890566334,0.023395679492864474,30.023395679492864
2021-02-22,170.52,50.26,3.4511401055223905,-2.9343017035553203,27.06569829644468
2021-02-23,173.22,50.75,3.4503798125308602,-1.8867754859411718,28.113224514058828
2021-02-24,178.48,52.22,3.450119756491146,-1.6852536839676588,28.31474631603234
2021-02-25,173.25999,50.79,3.449014152658312,-1.9154388135156637,28.084561186484336
2021-02-26,168.36,49.73,3.44752410066975,-3.0853735263066255,26.914626473693374
2021-03-01,173.07001,51.48,3.4446366334365583,-4.259883889314011,25.74011611068599
2021-03-02,173.09,51.67,3.441268769486762,-4.72035731938098,25.27964268061902
2021-03-03,173.35001,51.69,3.438224882836491,-4.371834193818216,25.628165806181784
2021-03-04,172.58,50.98,3.435555923955653,-2.564641003259169,27.43535899674083
2021-03-05,176.46001,52.2,3.43409603822845,-2.799803195525101,27.2001968044749
