date,AEP,XLU,beta,value,price
2010-07-20,35.92,30.42,1.124323930841724,1.718066023794755,31.718066023794755
2010-07-21,35.26,29.95,1.125566093261085,1.5492955068305037,31.549295506830504
2010-07-22,35.79,30.43,1.1267976170004645,1.5015485146758607,31.50154851467586
2010-07-23,35.8,30.48,1.1279348135247795,1.4205468837647146,31.420546883764715
2010-07-26,36.17,30.7,1.1291472889240268,1.505178230032378,31.505178230032378
2010-07-27,36.63,31.15,1.1302698938726627,1.422092805866562,31.422092805866562
2010-07-28,36.61,31.0,1.131185347309059,1.5432542334191695,31.54325423341917
2010-07-29,36.1,30.52,1.1322938172821249,1.5423926965495482,31.54239269654955
2010-07-30,35.98,30.37,1.1336081568223562,1.5523202773050357,31.552320277305036
2010-08-02,36.27,31.0,1.1349447926956986,1.0867114264333466,31.086711426433347
2010-08-03,36.25,30.85,1.1361704123359262,1.1991427794366771,31.199142779436677
2010-08-04,35.99,30.98,1.1375174608417424,0.7497090631228218,30.749709063122822
2010-08-05,36.41,30.93,1.138528701350138,1.1953072672402314,31.19530726724023
2010-08-06,35.98,30.99,1.1398540591691313,0.655922706348619,30.65592270634862
2010-08-09,35.85,31.1,1.1408042899156008,0.37098658362481274,30.370986583624813
2010-08-10,36.27,31.28,1.141675731184509,0.558383128548563,30.558383128548563
2010-08-11,35.5,30.65,1.1426768046305757,0.4769559380728552,30.476955938072855
2010-08-12,35.35,30.59,1.143665874055972,0.3652609126278179,30.365260912627818
2010-08-13,35.52,30.7,1.144631129636714,0.3798243201528848,30.379824320152885
2010-08-16,35.73,30.7,1.1455827671518375,0.5606090484385859,30.560609048438586
2010-08-17,35.76,31.0,1.1466099579275095,0.21509130424720269,30.215091304247203
2010-08-18,35.22,30.83,1.1474698024295025,-0.15649400890156073,29.84350599109844
2010-08-19,34.84,30.39,1.148095538581967,-0.050623417505974544,29.949376582494025
2010-08-20,34.82,30.47,1.148812552869269,-0.18431848592662448,29.815681514073376
