date,IP,XLB,beta,value,price
2010-07-07,23.13,29.2,0.7817210236320649,0.303746109943706,30.303746109943706
2010-07-08,23.15,29.68,0.7819069916854515,-0.05699951322420205,29.943000486775798
2010-07-09,23.67,30.39,0.7818076003405457,-0.08913297434918377,29.910867025650816
2010-07-12,23.32,29.99,0.7812933912974472,-0.1109888050104395,29.88901119498956
2010-07-13,24.14,30.8,0.7807551303837303,0.09274198418110657,30.092741984181107
2010-07-14,23.79,30.7,0.7801895435848916,-0.16181898805617223,29.838181011943828
2010-07-15,23.59,30.67,0.7797220250273963,-0.3240745075902467,29.675925492409753
2010-07-16,22.78,29.83,0.7792184101931607,-0.46408517606198174,29.53591482393802
2010-07-19,23.06,29.86,0.7781472756027096,-0.17547764949690858,29.82452235050309
2010-07-20,24.28,30.76,0.7772287338622915,0.37244414639591383,30.372444146395914
