date,TOL,XHB,beta,value,price
2018-06-04,39.62,39.85,1.0642937869223776,-2.792107408856751,27.20789259114325
2018-06-05,39.31,40.11,1.0626481108504908,-3.3128157262131808,26.68718427378682
2018-06-06,39.2,40.36,1.0610335093756396,-3.6233124384008093,26.37668756159919
2018-06-07,39.33,40.56,1.0593934217667198,-3.6389971868581625,26.361002813141837
2018-06-08,40.52,41.33,1.0576690931937076,-3.1934636216959333,26.806536378304067
2018-06-11,40.13,41.39,1.0561689458508876,-3.584832668768236,26.415167331231764
2018-06-12,40.72,41.88,1.054537126284104,-3.4440148487782736,26.555985151221726
2018-06-13,38.96,40.86,1.0526136686091214,-4.049794499368701,25.9502055006313
2018-06-14,39.05,41.0,1.0503617907856413,-4.0148334222112965,25.985166577788704
2018-06-15,38.7,40.88,1.0482099628034103,-4.1508232794034114,25.84917672059659
2018-06-18,37.78,40.51,1.0457682811590092,-4.584073069751462,25.41592693024854
2018-06-19,37.57,40.42,1.0431611529062053,-4.594573800468815,25.405426199531185
2018-06-20,37.4,40.5,1.0403237482536591,-4.7331118042732,25.2668881957268
2018-06-21,37.4,40.09,1.0376287583398598,-4.198536921844983,25.801463078155017
2018-06-22,37.11,39.85,1.0352189598383401,-4.143475549557856,25.856524450442144
2018-06-25,36.45,39.36,1.0330731978890102,-4.211761068911436,25.788238931088564
2018-06-26,36.87,39.67,1.0308747606537112,-4.024801755132728,25.975198244867272
2018-06-27,36.01,39.23,1.028706036281338,-4.346137803316893,25.653862196683107
2018-06-28,36.46,39.23,1.0265327881597965,-3.8108812795088127,26.189118720491187
2018-06-29,36.99,39.55,1.0243709121367162,-3.5238695750071187,26.47613042499288
2018-07-02,36.74,39.52,1.022108720787317,-3.653736645514769,26.34626335448523
2018-07-03,36.88,39.64,1.0199655239312333,-3.551433368634086,26.448566631365914
2018-07-05,37.0,40.13,1.0177518304373976,-3.842380955452768,26.157619044547232
2018-07-06,37.01,40.24,1.0154049620421322,-3.8498956725754,26.1501043274246
2018-07-09,37.83,40.78,1.0130801139794383,-3.483407048081496,26.516592951918504
2018-07-10,37.21,40.71,1.0108876343894915,-3.9432355959961995,26.0567644040038
2018-07-11,37.17,40.36,1.0084000722402062,-3.529026915614722,26.470973084385278
2018-07-12,37.15,40.49,1.0060665523584027,-3.585634704991726,26.414365295008274
2018-07-13,37.14,40.72,1.0034994168900888,-3.722496255764412,26.277503744235588
2018-07-16,37.01,40.55,1.0009642676833062,-3.579101054558066,26.420898945441934
2018-07-17,38.04,41.14,0.9987286209817502,-3.0476954671892074,26.952304532810793
2018-07-18,37.86,41.08,0.996616283182634,-3.0809969131425987,26.9190030868574
2018-07-19,38.05,41.46,0.9944653792774512,-3.1805346248431263,26.819465375156874
2018-07-20,37.34,41.0,0.9922322183221158,-3.3415209512067463,26.658479048793254
2018-07-23,36.93,40.55,0.9895755450485865,-3.197288351720182,26.802711648279818
2018-07-24,36.25,39.85,0.986702754439074,-3.070104764397101,26.9298952356029
2018-07-25,34.97,39.11,0.9836565828192801,-3.5008089540620446,26.499191045937955
2018-07-26,35.68,39.37,0.9806780325982407,-2.929294143392731,27.07070585660727
2018-07-27,35.14,39.17,0.9777368144842458,-3.1579510233479056,26.842048976652094
2018-07-30,35.17,39.14,0.9748602070149335,-2.986028502564494,27.013971497435506
2018-07-31,35.26,39.62,0.971755681851809,-3.240960114968672,26.759039885031328
