date,ADI,XSD,beta,value,price
2010-08-02,30.09,22.1649935,1.2987939107024136,1.3022414114414218,31.302241411441422
2010-08-03,29.87,21.9199985,1.3010760778624877,1.3504143248683889,31.35041432486839
2010-08-04,30.24,22.1599965,1.3033952468967138,1.3567658906521878,31.356765890652188
2010-08-05,30.23,22.199997,1.305902980686929,1.2389577464591213,31.23895774645912
2010-08-06,30.17,22.2549975,1.3084007516696263,1.0515445425943462,31.051544542594346
2010-08-09,30.49,22.4249955,1.3112021871168271,1.0862968543149911,31.08629685431499
2010-08-10,29.89,21.9199985,1.3140938381527023,1.0850650388335268,31.085065038833527
2010-08-11,29.09,21.0849995,1.3168955364215684,1.3232582729989986,31.323258272999
2010-08-12,28.23,20.7549975,1.3197902974590074,0.8377556757140425,30.837755675714043
2010-08-13,28.07,20.6399995,1.3221506352384944,0.7808115497527943,30.780811549752794
2010-08-16,28.36,20.7149965,1.3237211894556449,0.9391201934504778,30.939120193450478
2010-08-17,28.81,20.9649965,1.3252168819600711,1.026832707966193,31.026832707966193
2010-08-18,30.08,21.2249985,1.3267765840737467,1.919168993199598,31.919168993199598
2010-08-19,29.67,20.934998,1.328849655753105,1.8505351145080589,31.85053511450806
2010-08-20,29.62,21.0399935,1.3307786731713727,1.6204253665356951,31.620425366535695
2010-08-23,29.91,20.7899935,1.3327651673687844,2.2018208333765585,32.20182083337656
2010-08-24,29.32,20.5,1.3352932845131993,1.9464876674794134,31.946487667479413
2010-08-25,29.01,20.6299975,1.3376375427066773,1.4145408380551032,31.414540838055103
2010-08-26,28.96,20.364998,1.3393450772610882,1.6842401802680946,31.684240180268095
2010-08-27,29.22,20.8699955,1.3412973506585326,1.227130327594498,31.227130327594498
2010-08-30,28.38,20.324997,1.342824788062089,1.0870902111124074,31.087090211112407
2010-08-31,27.88,19.9749985,1.344308789116459,1.0274339538619124,31.027433953861912
2010-09-01,28.5,20.519997,1.345661850154907,0.8870228718068596,30.88702287180686
2010-09-02,29.19,20.9649965,1.3468138670574172,0.9540519909897824,30.954051990989782
2010-09-03,29.59,21.4199985,1.3478740897342525,0.7185390197034494,30.71853901970345
2010-09-07,28.67,20.9599995,1.348944673723982,0.3961203132176756,30.396120313217676
2010-09-08,28.82,20.9749985,1.3498362291297474,0.5071871187578907,30.50718711875789
2010-09-09,28.81,20.899994,1.3509717650887476,0.5746982154757632,30.574698215475763
2010-09-10,27.93,20.5399935,1.3522517012934556,0.15475884506847848,30.15475884506848
2010-09-13,28.73,21.2049945,1.3531673894313927,0.036092949527958496,30.03609294952796
2010-09-14,29.15,21.6199955,1.354005929412792,-0.12360210087788204,29.876397899122118
2010-09-15,28.9,21.559998,1.354721331664136,-0.30778920123611186,29.692210798763888
2010-09-16,29.48,21.7449955,1.3552156983542933,0.010840737756531382,30.01084073775653
2010-09-17,29.91,21.6749955,1.3560228672068755,0.5182104553938736,30.518210455393874
2010-09-20,30.02,21.824997,1.3571737529091352,0.39968691427938197,30.399686914279382
2010-09-21,30.02,21.9149935,1.358001315216019,0.25941000404948866,30.25941000404949
2010-09-22,29.31,21.5149995,1.3589358241019815,0.07249642391377975,30.07249642391378
2010-09-23,29.45,21.634995,1.3598280772453684,0.030126347936839437,30.03012634793684
2010-09-24,30.87,22.5349965,1.3604399478859135,0.21249053593076184,30.212490535930762
2010-09-27,31.01,22.484993,1.361105173377341,0.40555970434670385,30.405559704346704
2010-09-28,31.67,22.859993,1.3618781442109742,0.5374751564841418,30.537475156484142
2010-09-29,31.57,22.9149935,1.3626405858310418,0.3450998328454844,30.345099832845484
2010-09-30,31.38,22.695,1.3632529301094087,0.4409747511669657,30.440974751166966
2010-10-01,31.39,22.574997,1.363895041456554,0.6000735308034173,30.600073530803417
