date,CMCSA,XLY,beta,value,price
2020-11-10,47.770005,151.72,0.3005743365044706,2.1668666655417255,32.166866665541725
2020-11-11,47.669999,153.05,0.30084223780911123,1.626094503315521,31.62609450331552
2020-11-12,47.979996,151.0,0.3010827740752472,2.516497114637673,32.51649711463767
2020-11-13,49.0,153.45,0.30142643629762705,2.7461133501291286,32.74611335012913
2020-11-16,49.539994,155.46001,0.3018041095468436,2.6215241118065933,32.62152411180659
2020-11-17,49.779999,154.8,0.30222358173817393,2.995788546930669,32.99578854693067
2020-11-18,49.14,153.74001,0.3026864219929102,2.604986455945763,32.60498645594576
2020-11-19,49.479996,154.5,0.30316937647589465,2.6403273344742786,32.64032733447428
2020-11-20,49.169999,153.69,0.30362870092842364,2.5053039543105697,32.50530395431057
2020-11-23,49.809998,155.38,0.3040121376200036,2.5725920566038383,32.57259205660384
2020-11-24,52.339997,157.69,0.3044442610336019,4.332181477611314,34.332181477611314
2020-11-25,51.800004,157.88,0.3050501839860493,3.6386809522825416,33.63868095228254
2020-11-27,51.75,158.22,0.3056127813001823,3.39594574268515,33.39594574268515
2020-11-30,50.240006,157.25999,0.3062183110566355,2.084117465416618,32.08411746541662
2020-12-01,51.020005,158.42999,0.3065872574411312,2.4473888694741532,32.44738886947415
2020-12-02,51.050004,157.44,0.3069478672586852,2.7241317787926036,32.724131778792604
2020-12-03,51.589997,157.88,0.30734540500752305,3.066304457412258,33.06630445741226
2020-12-04,51.690003,158.03,0.3077960631287658,3.0489911437611426,33.04899114376114
2020-12-07,51.929993,157.67,0.3082418486864224,3.3295007176117863,33.329500717611786
2020-12-08,51.410004,157.34,0.30866296420735817,2.844973211614267,32.84497321161427
2020-12-09,51.259995,157.19,0.3090207721894979,2.685019819532826,32.685019819532826
2020-12-10,50.479996,157.05,0.3092769779301869,1.9080466160641478,31.908046616064148
2020-12-11,50.929993,156.3,0.30938306202189614,2.573420405977636,32.573420405977636
2020-12-14,50.990006,156.53,0.30962835291403074,2.5238799183667666,32.52387991836677
2020-12-15,51.509995,158.64,0.30984009894707865,2.356961703035452,32.35696170303545
2020-12-16,51.429993,159.67999,0.31002413085489877,1.9253428853310766,31.925342885331077
2020-12-17,51.360001,160.77,0.3101003956825567,1.5051603861153495,31.50516038611535
2020-12-18,50.899994,159.99001,0.31014273326919395,1.2802550028343234,31.280255002834323
2020-12-21,50.369996,157.89,0.31012289672386933,1.4046918362682774,31.404691836268277
2020-12-22,50.020005,157.21001,0.31012533992848357,1.26519720858969,31.26519720858969
2020-12-23,50.035004,157.55,0.3101420217995824,1.1721284654757937,31.172128465475794
2020-12-24,50.380005,157.88,0.31017107209982403,1.410196136879783,31.410196136879783
2020-12-28,51.110001,159.67999,0.3102584056076571,1.5679418951533677,31.567941895153368
2020-12-29,51.550004,159.73,0.31040894116246837,1.968383828118931,31.96838382811893
2020-12-30,51.210007,160.69,0.31072015578599094,1.280385166749113,31.280385166749113
2020-12-31,52.399994,160.78,0.31095536623791553,2.404590216267941,32.40459021626794
2021-01-04,50.509995,159.42,0.31136273935315956,0.8725470923193086,30.87254709231931
2021-01-05,49.979996,160.61,0.311669451395403,-0.07723458861567423,29.922765411384326
2021-01-06,50.559998,162.25,0.31187327303841117,-0.04144055048221418,29.958559449517786
2021-01-07,50.660004,165.38,0.3121863915173323,-0.969381429136412,29.030618570863588
2021-01-08,51.539994,168.78999,0.31234785274445587,-1.1811969412581718,28.81880305874183
2021-01-11,51.520005,165.64,0.3124942442016702,-0.2415416095646492,29.75845839043535
2021-01-12,50.009995,168.17,0.31275681086552015,-2.586317883254516,27.413682116745484
