date,ODP,XRT,beta,value,price
2010-08-20,4.01,37.43,0.1227784782140702,-0.5855984395526477,29.414401560447352
2010-08-23,3.96,37.05,0.12212355409706281,-0.5646776792961772,29.435322320703822
2010-08-24,3.75,36.37,0.12140572687883154,-0.6655262865831029,29.334473713416898
2010-08-25,3.71,36.98,0.12071647398696107,-0.7540952080378203,29.24590479196218
2010-08-26,3.55,36.52,0.12009628873101168,-0.8359164644565471,29.164083535543455
2010-08-27,3.58,36.97,0.11935376102967964,-0.832508545267256,29.167491454732744
2010-08-30,3.47,36.04,0.11858524046120975,-0.8038120662219987,29.196187933778003
2010-08-31,3.41,35.92,0.1179141496673018,-0.8254762560494813,29.17452374395052
2010-09-01,3.73,37.36,0.11727807313115861,-0.6515088121800852,29.348491187819914
2010-09-02,3.92,38.18,0.11670135113411118,-0.5356575863003643,29.464342413699637
2010-09-03,4.02,38.77,0.11615078725726195,-0.48316602196404634,29.516833978035955
2010-09-07,3.94,38.19,0.11557990817708093,-0.4739966932827202,29.52600330671728
2010-09-08,4.0,38.59,0.11498872764272991,-0.4374149997329475,29.562585000267052
2010-09-09,3.89,38.38,0.11437143586577807,-0.4995757085285626,29.500424291471436
2010-09-10,3.92,38.7,0.11366597526773363,-0.47887324286129207,29.52112675713871
2010-09-13,4.03,39.54,0.11294692079404892,-0.43592124819669387,29.564078751803308
2010-09-14,4.03,40.32,0.11232289160059797,-0.49885898933611017,29.50114101066389
2010-09-15,4.08,40.3,0.11173287483656309,-0.422834855913492,29.577165144086507
2010-09-16,4.04,40.29,0.11119353171788561,-0.43998739291361133,29.56001260708639
2010-09-17,4.02,40.33,0.11070554805515014,-0.4447547530642053,29.555245246935794
2010-09-20,4.43,41.11,0.11019681736530303,-0.1001911618876079,29.899808838112392
2010-09-21,4.37,40.69,0.10990728387843306,-0.10212738101344065,29.89787261898656
2010-09-22,4.29,40.6,0.10965496156013853,-0.16199143934162397,29.838008560658377
2010-09-23,4.39,40.65,0.1094961808181829,-0.06101975025913475,29.938980249740865
2010-09-24,4.6,41.84,0.10945995427887048,0.020195512972058793,30.02019551297206
2010-09-27,4.54,41.65,0.10941300217836572,-0.017051540728932224,29.982948459271068
2010-09-28,4.67,42.2,0.10933176157790565,0.0561996614123812,30.056199661412382
2010-09-29,4.6,42.02,0.109286893817502,0.007764721788564799,30.007764721788565
2010-09-30,4.6,41.82,0.10927813366962995,0.029988449936075412,30.029988449936077
2010-10-01,4.6,41.97,0.10924709199774604,0.014899548854597988,30.014899548854597
2010-10-04,4.48,41.57,0.10918397225013822,-0.05877772643824564,29.941222273561756
2010-10-05,4.56,42.22,0.10906731392396983,-0.044821993870006516,29.955178006129994
2010-10-06,4.5,42.02,0.1089600216090461,-0.07850010801211749,29.92149989198788
2010-10-07,4.48,42.4,0.10880808389514733,-0.1334627571542466,29.86653724284575
2010-10-08,4.6,42.83,0.10865017666309953,-0.053487066480553125,29.946512933519447
2010-10-11,4.83,43.33,0.10853695531145359,0.12709372635471627,30.127093726354715
2010-10-12,5.02,43.8,0.10854866586569334,0.2655684350826313,30.26556843508263
2010-10-13,5.1,43.71,0.10860515350873161,0.35286874013334124,30.352868740133342
2010-10-14,4.94,43.55,0.10870772717734288,0.2057784814267185,30.20577848142672
2010-10-15,4.86,44.03,0.10877202763620837,0.07076762317774588,30.070767623177744
2010-10-18,4.9,44.12,0.10874266174848549,0.10227376365682073,30.10227376365682
2010-10-19,4.69,42.83,0.10870527338202852,0.03415314104771916,30.034153141047717
2010-10-20,4.69,43.23,0.10852249485894956,-0.0014274527523889802,29.998572547247612
2010-10-21,4.65,42.98,0.108430047280945,-0.010323432135015409,29.989676567864983
2010-10-22,4.63,43.34,0.10833125714578108,-0.06507668469815275,29.934923315301848
2010-10-25,4.79,43.63,0.10822629410497375,0.06808678819999514,30.068086788199995
2010-10-26,4.77,44.05,0.10818008121359371,0.004667422541197119,30.004667422541196
2010-10-27,4.76,43.49,0.10795841620170422,0.064888479387883,30.064888479387882
2010-10-28,4.7,43.45,0.10775785320162141,0.017921278389549045,30.01792127838955
2010-10-29,4.49,43.61,0.10752882790102544,-0.19933218476371906,29.80066781523628
2010-11-01,4.45,43.2,0.10714615017446943,-0.17871368753707984,29.82128631246292
2010-11-02,4.43,43.75,0.10689291897437644,-0.2465652051289693,29.75343479487103
2010-11-03,4.39,43.79,0.10665469973023292,-0.2804093011869,29.7195906988131
2010-11-04,4.65,44.93,0.1064017794273468,-0.13063194967069158,29.869368050329307
2010-11-05,4.69,45.3,0.10631549857537831,-0.12609208546463702,29.873907914535362
2010-11-08,4.6,45.45,0.1061718329500484,-0.22550980757970063,29.7744901924203
2010-11-09,4.6,44.96,0.10599583737751841,-0.16557284849322862,29.834427151506773
2010-11-10,4.71,45.32,0.1058930938683331,-0.08907501411285601,29.910924985887142
2010-11-11,4.72,45.34,0.10581512681809226,-0.07765784993230351,29.922342150067696
2010-11-12,4.48,44.6,0.10573362156714913,-0.23571952189485135,29.76428047810515
2010-11-15,4.53,44.5,0.10558458071960194,-0.16851384202228648,29.831486157977714
2010-11-16,4.39,44.27,0.10549176002520082,-0.2801202163156411,29.71987978368436
2010-11-17,4.51,45.12,0.10535515045307303,-0.24362438844265544,29.756375611557345
2010-11-18,4.68,45.38,0.10527912073766883,-0.0975664990754126,29.902433500924587
2010-11-19,4.69,46.0,0.10530123874885093,-0.15385698244714252,29.84614301755286
2010-11-22,4.64,46.43,0.10533600560187979,-0.2507507400952793,29.749249259904722
2010-11-23,4.64,46.58,0.10533578545197411,-0.2665408863529546,29.733459113647044
2010-11-24,4.65,47.33,0.10532974891703606,-0.3352570162433164,29.664742983756682
2010-11-26,4.49,47.37,0.10530735172020263,-0.49840925098599786,29.501590749014003
2010-11-29,4.4,46.96,0.10516262261616847,-0.5384367580552709,29.46156324194473
2010-11-30,4.35,47.11,0.10496779747605602,-0.5950329390969991,29.404967060903
2010-12-01,4.58,47.6825,0.10473439149813135,-0.41399762260964756,29.58600237739035
2010-12-02,4.68,47.85,0.10457946532017807,-0.32412741557052094,29.675872584429477
2010-12-03,4.89,48.08,0.10445493705541643,-0.13219337362442207,29.86780662637558
2010-12-06,4.84,48.0425,0.10443928392447537,-0.1775242979416074,29.82247570205839
2010-12-07,5.02,47.78,0.10440614577385433,0.031474354925239645,30.03147435492524
2010-12-08,5.03,47.57,0.10445265129446402,0.061187377922347075,30.061187377922348
2010-12-09,4.95,47.86,0.10454047608008235,-0.05330718519274136,29.946692814807257
2010-12-10,4.87,48.14,0.104564444456995,-0.16373235615973947,29.83626764384026
2010-12-13,4.77,47.45,0.10455667243939928,-0.19121410724949683,29.808785892750503
2010-12-14,4.68,47.26,0.10454707192209396,-0.2608946190381607,29.73910538096184
2010-12-15,4.71,47.32,0.10439784834252283,-0.23010618356818036,29.769893816431818
2010-12-16,4.76,48.06,0.10426527636485029,-0.2509891820947052,29.749010817905294
2010-12-17,4.9,47.96,0.10414578278379327,-0.094831742310725,29.905168257689276
2010-12-20,4.8,47.9,0.10405555572506009,-0.1842611192303787,29.815738880769622
2010-12-21,4.84,48.06,0.10389802322572836,-0.15333899622850566,29.846661003771494
2010-12-22,5.28,48.03,0.10376504603240086,0.29616483906378654,30.296164839063785
2010-12-23,5.45,48.45,0.10378087436398853,0.42181663706475536,30.421816637064754
2010-12-27,5.4,48.23,0.10386524725778486,0.3905791247570374,30.39057912475704
2010-12-28,5.36,48.1,0.10393086041212411,0.3609256141768302,30.36092561417683
2010-12-29,5.42,48.47,0.10399017764901737,0.37959608935212774,30.379596089352127
2010-12-30,5.53,48.73,0.1040852056503371,0.45792792865907384,30.457927928659075
2010-12-31,5.4,48.36,0.10420735499165888,0.36053231260337704,30.360532312603375
2011-01-03,5.83,48.71,0.10430527329886088,0.7492901376124861,30.749290137612487
2011-01-04,5.81,47.8,0.10457427885683253,0.811349470643405,30.811349470643407
2011-01-05,6.1,47.76,0.10483866932278853,1.0929051531436196,31.09290515314362
2011-01-06,6.01,47.08,0.10515046912479423,1.059515913604688,31.059515913604688
