date,NTRS,KBE,beta,value,price
2011-02-28,51.57,26.5,2.0566143035156297,-2.930279043164184,27.069720956835816
2011-03-01,51.08,25.92,2.052115201175407,-2.1108260144665607,27.88917398553344
2011-03-02,51.07,25.87,2.0482291004469384,-1.9176868285622959,28.082313171437704
2011-03-03,51.83,26.375,2.044779377608223,-2.101056084416882,27.898943915583118
2011-03-04,51.44,25.98,2.0411376363106237,-1.5887557913500103,28.41124420864999
2011-03-07,50.94,25.78,2.037881373657983,-1.596581812902805,28.403418187097195
2011-03-08,51.93,26.48,2.035280453875352,-1.964226418619326,28.035773581380674
2011-03-09,52.06,26.49,2.0324605135270497,-1.7798790033315441,28.220120996668456
2011-03-10,50.94,25.88,2.0297193300506717,-1.5891362617113813,28.41086373828862
2011-03-11,50.95,26.12,2.0267379179211136,-1.9883944160994886,28.01160558390051
2011-03-14,50.55,25.9,2.0229969222701953,-1.8456202867980593,28.15437971320194
2011-03-15,49.775,25.69,2.0192186565615944,-2.098727287067362,27.901272712932638
2011-03-16,49.24,25.3,2.0149769121938044,-1.7389158785032492,28.26108412149675
2011-03-17,49.81,25.65,2.011483823424533,-1.7845600708392695,28.21543992916073
2011-03-18,49.94,25.81,2.008037184417656,-1.8874397298197039,28.112560270180296
2011-03-21,50.43,25.815,2.004625977177011,-1.3194196008245456,28.680580399175454
2011-03-22,50.44,25.68,2.0016601633830984,-0.9626329956779713,29.03736700432203
2011-03-23,50.35,25.52,1.9987132092913336,-0.6571611011148306,29.34283889888517
2011-03-24,51.02,25.6,1.9960428010434723,-0.07869570671289239,29.921304293287108
2011-03-25,50.68,25.71,1.9937544931211792,-0.5794280181455207,29.42057198185448
2011-03-28,50.41,25.63,1.9911356001229648,-0.6228054311515905,29.37719456884841
2011-03-29,50.55,25.69,1.988362917787405,-0.5310433579584384,29.46895664204156
2011-03-30,51.12,25.9,1.985633268104258,-0.30790164390028707,29.692098356099713
2011-03-31,50.75,25.82,1.9833493219878193,-0.4600794937254946,29.539920506274505
2011-04-01,51.69,26.04,1.9807971850649828,0.11004130090784514,30.110041300907845
2011-04-04,51.81,26.03,1.9786579461550478,0.3055336615841071,30.305533661584107
2011-04-05,51.7,26.03,1.9763431667467535,0.2557873695820092,30.25578736958201
2011-04-06,52.34,26.43,1.9743559750719866,0.15777157884740234,30.157771578847402
2011-04-07,52.24,26.3,1.9725755385324744,0.36126333659592547,30.361263336595925
2011-04-08,52.12,26.08,1.9709571795832286,0.7174367564693966,30.717436756469397
2011-04-11,52.36,26.025,1.969338268285929,1.1079715678586979,31.107971567858698
2011-04-12,51.96,25.99,1.967984969071651,0.8120706538277886,30.81207065382779
2011-04-13,51.63,25.7,1.9668839263172897,1.0810830936456597,31.08108309364566
2011-04-14,51.625,25.46,1.9657745742314017,1.576379340068513,31.576379340068513
2011-04-15,51.78,25.4,1.9661423447746456,1.8399844427240097,31.83998444272401
2011-04-18,51.4,25.1,1.9663621233041386,2.044310705066117,32.04431070506612
2011-04-19,48.67,25.11,1.9672240655599624,-0.7269962862106567,29.273003713789343
2011-04-20,49.03,24.99,1.966310296722287,-0.10809431508995004,29.89190568491005
2011-04-21,49.38,25.09,1.9656968041327334,0.06066718430972173,30.06066718430972
2011-04-25,48.98,25.1,1.9650192680188716,-0.3419836272736845,29.658016372726316
2011-04-26,49.65,25.3,1.9644799473021055,-0.051342666743273924,29.948657333256726
2011-04-27,49.87,25.56,1.9641100783483039,-0.33265360258264565,29.667346397417354
2011-04-28,49.92,25.68,1.9637212564175184,-0.50836186480187,29.49163813519813
2011-04-29,49.99,25.61,1.9638247843396714,-0.3035527269389817,29.69644727306102
2011-05-02,49.16,25.54,1.964135484906262,-1.004020284505934,28.995979715494066
2011-05-03,49.37,25.75,1.964041508846344,-1.2040688527933625,28.795931147206637
2011-05-04,49.16,25.55,1.9639428713666554,-1.018740363418047,28.981259636581953
2011-05-05,48.63,25.19,1.9642855833033217,-0.850353843410673,29.149646156589327
2011-05-06,48.43,25.21,1.9647887137890667,-1.1023234746223736,28.897676525377626
2011-05-09,48.51,25.16,1.9649835144177814,-0.9289852227513791,29.07101477724862
2011-05-10,49.28,25.38,1.9652034986730007,-0.5968647963207516,29.40313520367925
2011-05-11,48.43,25.15,1.9657960908815333,-1.0097716856705574,28.990228314329443
2011-05-12,48.82,25.08,1.9663015716898256,-0.49484341798082454,29.505156582019175
2011-05-13,48.24,24.63,1.9668726400448646,-0.2040731243050118,29.795926875694988
2011-05-16,48.63,24.669,1.9669716046367565,0.10677748521585784,30.106777485215858
2011-05-17,49.04,25.07,1.9669109584214344,-0.270457727625363,29.729542272374637
2011-05-18,49.49,25.14,1.9663064437529987,0.05705600404961331,30.057056004049613
2011-05-19,49.44,25.16,1.9657396609348337,-0.018009869120419353,29.98199013087958
2011-05-20,48.93,24.75,1.9654172550052513,0.2859229386200326,30.285922938620033
2011-05-23,48.53,24.38,1.9652256509562567,0.6177986296864688,30.61779862968647
2011-05-24,48.61,24.35,1.965692516051837,0.7453872341377661,30.745387234137766
2011-05-25,48.64,24.335,1.9665071560864849,0.785048356635393,30.785048356635393
2011-05-26,48.52,24.42,1.966923605988727,0.4877255417552888,30.48772554175529
2011-05-27,48.45,24.77,1.9671054961372658,-0.27520313932006957,29.72479686067993
2011-05-31,48.79,24.95,1.9669661079415495,-0.2858043931416603,29.71419560685834
2011-06-01,47.52,23.93,1.9665572889481524,0.46028407547071737,30.460284075470717
2011-06-02,47.64,23.97,1.9666801363137283,0.4986771325599335,30.498677132559934
2011-06-03,47.23,23.75,1.9670898773383374,0.5116154132144857,30.511615413214486
2011-06-06,47.07,23.26,1.9674379345769983,1.3073936417390186,31.30739364173902
2011-06-07,46.78,23.235,1.968213527226427,1.0485586948939698,31.04855869489397
2011-06-08,46.41,23.1,1.9691629630998906,0.9223355523925179,30.922335552392518
2011-06-09,47.35,23.38,1.970027356886073,1.2907603960036198,31.29076039600362
2011-06-10,46.765,23.28,1.9713839461831344,0.8711817328566269,30.871181732856627
2011-06-13,47.3,23.52,1.9723421205515737,0.910513324626983,30.910513324626983
2011-06-14,47.44,23.65,1.9734367390316696,0.7682211219010142,30.768221121901014
2011-06-15,46.36,23.27,1.9745979526893342,0.4111056409191889,30.41110564091919
2011-06-16,46.35,23.37,1.9752256497258864,0.18897656590603162,30.18897656590603
2011-06-17,46.79,23.56,1.9755376779196436,0.24633230821319785,30.246332308213198
2011-06-20,46.56,23.43,1.975737624696961,0.2684674533502118,30.268467453350212
2011-06-21,46.83,23.69,1.9756035393872633,0.027952151915727086,30.027952151915727
