date,D,XLU,beta,value,price
2021-12-03,73.04,67.4,1.1247406767086168,-2.7675216101607703,27.23247838983923
2021-12-06,74.29,68.43,1.1239341522106125,-2.620814035772213,27.379185964227787
2021-12-07,75.46,68.94,1.1231598207692817,-1.9706380438342848,28.029361956165715
2021-12-08,75.13,68.87,1.1226985981679922,-2.1902524558296363,27.809747544170364
2021-12-09,76.19,68.78,1.122206500904856,-0.9953631322360081,29.004636867763992
2021-12-10,75.96,69.15,1.1221459402672431,-1.6363917694798715,28.36360823052013
2021-12-13,76.75,70.0,1.121908772674207,-1.7836140871944934,28.216385912805507
2021-12-14,76.6,69.58,1.121531590926814,-1.436168096687723,28.563831903312277
2021-12-15,78.2,70.72,1.120950779022597,-1.0736390924780608,28.92636090752194
2021-12-16,78.57,71.08,1.1204252382337194,-1.0698259336527798,28.93017406634722
2021-12-17,76.63,70.01,1.1198004010614675,-1.7672260783133567,28.232773921686643
2021-12-20,77.96,69.53,1.1190365921611383,0.15338574703605445,30.153385747036054
2021-12-21,77.14,69.43,1.1186669457095733,-0.5290460406156825,29.470953959384317
2021-12-22,77.15,69.73,1.1180991806084315,-0.8150558638259326,29.184944136174067
2021-12-23,77.34,69.72,1.1173998957259583,-0.5651207300138168,29.434879269986183
2021-12-27,77.43,70.06,1.116682703048719,-0.8047901755932401,29.19520982440676
2021-12-28,77.91,70.69,1.1160778050133426,-0.9855400363931892,29.01445996360681
2021-12-29,78.42,71.07,1.1155883844572296,-0.8648664833752946,29.135133516624705
2021-12-30,78.47,71.33,1.1151013496113948,-1.0701792677807873,28.929820732219213
2021-12-31,78.56,71.58,1.1146472046678044,-1.2264469101214388,28.77355308987856
2022-01-03,78.35,70.87,1.114077293660719,-0.604657801735172,29.395342198264828
2022-01-04,78.1,70.65,1.1136479579650373,-0.5792282302299014,29.4207717697701
2022-01-05,79.21,70.61,1.1133665243229807,0.5951897175543337,30.595189717554334
2022-01-06,79.06,69.88,1.1132906629111046,1.2632484757720164,31.263248475772016
2022-01-07,80.21,70.41,1.1133969251454263,1.8157225005105317,31.81572250051053
2022-01-10,79.83,69.95,1.113640518513395,1.9308457299880075,31.930845729988008
2022-01-11,79.13,69.32,1.1140546526036035,1.9037314815182071,31.903731481518207
2022-01-12,79.32,69.54,1.1145430215875978,1.8146782787984392,31.81467827879844
2022-01-13,79.75,69.88,1.1151186059138836,1.825511818737823,31.825511818737823
2022-01-14,79.17,69.4,1.1151583502387081,1.778010493433655,31.778010493433655
2022-01-18,78.46,68.57,1.1151272879377003,1.995721866111893,31.995721866111893
2022-01-19,79.03,68.88,1.1149771603247713,2.2303731968297598,32.23037319682976
2022-01-20,79.09,68.97,1.11497158558856,2.1904097419570263,32.190409741957026
2022-01-21,79.31,68.84,1.1150700482161353,2.548577880801247,32.54857788080125
2022-01-24,78.48,68.18,1.1153283180312141,2.4369152766318223,32.43691527663182
2022-01-25,77.98,67.11,1.1155832851636267,3.113205732669016,33.113205732669016
2022-01-26,77.46,66.56,1.1160252358141918,3.177360304207383,33.17736030420738
2022-01-27,78.21,67.15,1.1164765125587544,3.2386021816796386,33.23860218167964
2022-01-28,79.46,67.96,1.1171425393270322,3.5389930273348966,33.5389930273349
2022-01-31,80.66,69.25,1.1178973686944267,3.245607217910944,33.245607217910944
2022-02-01,80.03,68.33,1.118544200742686,3.5998747632522736,33.599874763252274
2022-02-02,81.32,69.34,1.1191885216359416,3.7154679097638024,33.7154679097638
2022-02-03,81.01,69.03,1.119790025475993,3.710894541392207,33.71089454139221
2022-02-04,80.18,68.48,1.1205934061906373,3.4417635440651537,33.441763544065154
2022-02-07,80.17,68.38,1.1214252348024594,3.486942444207841,33.48694244420784
2022-02-08,80.33,68.43,1.1221625147707484,3.540419114237679,33.54041911423768
2022-02-09,80.32,68.73,1.122960067273683,3.138954576279758,33.13895457627976
2022-02-10,78.25,66.99,1.1237428602963893,2.970465788744889,32.97046578874489
2022-02-11,79.08,67.03,1.1244438232165264,3.708530529796235,33.708530529796235
2022-02-14,78.75,66.46,1.1253563812795948,3.9588149001581314,33.95881490015813
2022-02-15,78.17,66.15,1.1263650593340038,3.660951325055649,33.66095132505565
2022-02-16,78.67,66.3,1.127260866380446,3.9326045589764362,33.932604558976436
2022-02-17,79.14,66.34,1.1285751953003116,4.270321543777328,34.27032154377733
2022-02-18,79.15,66.22,1.1301394533615026,4.312165398401305,34.312165398401305
2022-02-22,79.37,66.15,1.131571278985953,4.516559895079197,34.5165598950792
2022-02-23,77.64,65.03,1.1330660173712817,3.9567168903455467,33.95671689034555
2022-02-24,77.16,65.55,1.1344394007964722,2.7974972777912512,32.79749727779125
2022-02-25,79.69,67.58,1.135671139705326,2.9413443787140636,32.941344378714064
2022-02-28,79.53,67.93,1.137184100624449,2.2810840445811777,32.28108404458118
2022-03-01,79.29,67.34,1.1386786972600382,2.6113765265090336,32.611376526509034
2022-03-02,80.16,68.16,1.1402739183861903,2.438929722797269,32.43892972279727
2022-03-03,80.72,69.36,1.1417661626273305,1.5270989601683596,31.52709896016836
