date,LAZ,KCE,beta,value,price
2017-03-13,45.71,47.667,0.9072967619731849,2.461885247024199,32.4618852470242
2017-03-14,45.51,47.42,0.9080362565587292,2.450920713985056,32.450920713985056
2017-03-15,45.92,47.94,0.9091378071016878,2.3359335275450945,32.335933527545095
2017-03-16,45.96,48.3908,0.9101872578710127,1.9153104418154,31.9153104418154
2017-03-17,45.25,47.4,0.9108840632933942,2.0740953998931175,32.07409539989312
2017-03-20,45.04,47.1,0.9116151784704974,2.10292509403957,32.10292509403957
2017-03-21,43.99,46.018,0.9122628125436553,2.0094898923660764,32.009489892366076
2017-03-22,44.61,45.83,0.9128456956677607,2.774281767546526,32.774281767546526
2017-03-23,45.12,45.9359,0.9137627036083139,3.1454878233188523,33.14548782331885
2017-03-24,45.01,45.8079,0.9147753879126619,3.1060605080355757,33.106060508035576
2017-03-27,44.78,45.4374,0.9159475174909552,3.1617262687564818,33.16172626875648
2017-03-28,45.43,46.2293,0.9171585867537028,3.030400545387046,33.030400545387046
2017-03-29,45.42,46.0583,0.9182653066791475,3.1262610253798186,33.12626102537982
2017-03-30,45.85,46.7099,0.9194024325580095,2.904804315458641,32.90480431545864
2017-03-31,45.99,46.736,0.9204676885793588,2.9710221065550897,32.97102210655509
2017-04-03,45.59,46.35,0.9215837096631416,2.874595057113389,32.87459505711339
2017-04-04,45.23,46.0808,0.9229097014826417,2.7015826279186754,32.701582627918675
2017-04-05,44.53,46.25,0.9245022361110684,1.7717715798630849,31.771771579863085
2017-04-06,45.54,46.0666,0.9255884819063507,2.9012856394129045,32.901285639412905
2017-04-07,45.4,46.01,0.9272437938022798,2.7375130471571083,32.73751304715711
2017-04-10,45.77,45.826,0.928883779426861,3.20297192398467,33.20297192398467
2017-04-11,45.95,45.7453,0.9305917783821265,3.379799920376115,33.379799920376115
2017-04-12,44.9,45.567,0.9323820700227425,2.4141462152736892,32.41414621527369
2017-04-13,44.61,45.28,0.9337059433966804,2.3317948829983095,32.33179488299831
2017-04-17,45.27,45.5074,0.9348586589468902,2.727013063840296,32.727013063840296
2017-04-18,45.09,45.7958,0.9363024297401267,2.211281188107108,32.21128118810711
2017-04-19,45.85,45.9578,0.9377733570963538,2.7519996092371954,32.751999609237195
2017-04-20,46.03,46.5201,0.9394100627607518,2.3285499393635547,32.328549939363555
2017-04-21,44.76,46.3496,0.9410639650747208,1.142061644372717,31.142061644372717
2017-04-24,45.16,47.03,0.942301646790585,0.8435535514387809,30.84355355143878
2017-04-25,44.54,47.1,0.9431335175737297,0.11841132227733198,30.118411322277332
2017-04-26,44.3,47.215,0.9437012641035174,-0.25685518464757706,29.743144815352423
2017-04-27,43.17,47.074,0.9442510553516588,-1.2796741796239814,28.72032582037602
2017-04-28,42.94,46.9019,0.9441093801832864,-1.340523738418483,28.659476261581517
2017-05-01,43.11,46.8209,0.9438324300999666,-1.081083826467534,28.918916173532466
2017-05-02,43.4,46.77,0.9434801390646775,-0.7265661040549745,29.273433895945026
2017-05-03,44.17,46.96,0.9433980731164626,-0.1319735135490845,29.868026486450916
2017-05-04,43.15,46.9477,0.9433628377305922,-1.1387154969245188,28.86128450307548
2017-05-05,42.86,46.7411,0.9430430394460976,-1.2188690110539966,28.781130988946003
2017-05-08,43.12,46.69,0.9426172000045998,-0.8907970682147663,29.109202931785234
