date,STT,KCE,beta,value,price
2016-12-15,80.09,46.0,1.7603358099195323,-0.8854472562984768,29.114552743701523
2016-12-16,78.62,45.27,1.760268722059794,-1.0673650476468737,28.932634952353126
2016-12-19,78.32,45.3099,1.760301983805627,-1.4391068560345843,28.560893143965416
2016-12-20,79.01,45.93,1.7602045202606953,-1.836193615573734,28.163806384426266
2016-12-21,78.86,45.73,1.7598027898088235,-1.6157815779574918,28.384218422042508
2016-12-22,79.0,45.25,1.7592820540794865,-0.6075129470967653,29.392487052903235
2016-12-23,78.69,45.32,1.7591405713042045,-1.034250691506557,28.965749308493443
2016-12-27,79.0,45.51,1.7593022883356664,-1.0658471421561728,28.934152857843827
2016-12-28,78.4,44.925,1.7594654546934303,-0.6439855521023503,29.35601444789765
2016-12-29,77.66,44.82,1.7597251767851645,-1.2108824235110802,28.78911757648892
2016-12-30,77.72,44.88,1.7591775747721037,-1.231889555772014,28.768110444227986
2017-01-03,79.25,45.397,1.7585310789979627,-0.582035393270516,29.417964606729484
2017-01-04,82.27,46.5,1.7581694990195276,0.5151182955919609,30.51511829559196
2017-01-05,81.68,46.1,1.7582170347315667,0.6261946988747837,30.626194698874784
2017-01-06,82.44,46.41,1.7585130255206527,0.8274104855865119,30.827410485586512
2017-01-09,81.37,45.8,1.7590301511301265,0.8064190782402108,30.80641907824021
2017-01-10,81.3,45.9005,1.7594111841188396,0.5421469433532025,30.542146943353202
2017-01-11,82.85,45.95,1.7600667083791512,1.9749347499779901,31.97493474997799
2017-01-12,82.09,45.76,1.761355859273512,1.490355879644099,31.4903558796441
2017-01-13,82.93,46.0452,1.7623420613458802,1.7826073169166818,31.782607316916682
2017-01-17,80.2,45.1775,1.7632471290128915,0.5409028290200979,30.540902829020098
2017-01-18,80.15,45.417,1.7635933261594416,0.052881905816647645,30.052881905816648
2017-01-19,78.75,45.3281,1.7634501018755608,-1.1838425628256033,28.816157437174397
2017-01-20,79.01,45.54,1.762935709798497,-1.2740922242235513,28.72590777577645
2017-01-23,78.56,45.53,1.7622684552378638,-1.6760827669799454,28.323917233020055
2017-01-24,80.52,46.1705,1.7614115971729032,-0.8052541472715262,29.194745852728474
2017-01-25,77.8,46.438,1.7611090167718069,-3.9823805208491763,26.017619479150824
2017-01-26,76.58,46.1901,1.7591638224137478,-4.675952873673253,25.324047126326747
2017-01-27,76.0,45.88,1.7569598205647363,-4.609316567510106,25.390683432489894
2017-01-30,76.2,45.9,1.7547959335416914,-4.345133349563625,25.654866650436375
2017-01-31,76.2,45.945,1.7524261333303426,-4.315218695862583,25.684781304137417
2017-02-01,76.34,46.19,1.750014804216377,-4.493183806754445,25.506816193245555
2017-02-02,75.97,45.7999,1.7475265311026178,-4.066540371846784,25.933459628153216
2017-02-03,77.54,46.6,1.7453097954911052,-3.7914364698854968,26.208563530114503
2017-02-06,77.32,46.59,1.7428410776932206,-3.8789658097271627,26.121034190272837
2017-02-07,77.5,46.64,1.7403299692140446,-3.668989764143035,26.331010235856965
