date,FITB,KBE,beta,value,price
2017-02-01,26.24,43.5,0.6213742791658049,-0.7897811437125135,29.210218856287486
2017-02-02,25.94,43.03,0.6209673392941669,-0.7802246098280037,29.219775390171996
2017-02-03,26.52,44.12,0.6206421598786893,-0.8627320938477716,29.13726790615223
2017-02-06,26.76,43.87,0.6202512069802325,-0.4504204502227971,29.549579549777203
2017-02-07,26.49,43.71,0.6200768163159184,-0.6135576411687929,29.386442358831207
2017-02-08,25.89,43.27,0.6197755295657097,-0.92768716430826,29.07231283569174
2017-02-09,26.15,43.91,0.6193944812414547,-1.047611671312275,28.952388328687725
2017-02-10,26.51,44.14,0.6188539296871568,-0.8062124563911013,29.1937875436089
2017-02-13,26.74,44.61,0.6183461492843161,-0.8444217195733401,29.15557828042666
2017-02-14,27.55,45.32,0.6177130509698376,-0.4447554699530407,29.55524453004696
2017-02-15,27.56,45.62,0.6173853612947336,-0.6051201822657504,29.39487981773425
2017-02-16,27.6,45.47,0.6169132328054696,-0.4510446956647023,29.548955304335298
2017-02-17,27.54,45.32,0.6164612403386351,-0.39802341214694437,29.601976587853056
2017-02-21,27.57,45.48,0.6159845535062352,-0.44497749346357196,29.555022506536428
2017-02-22,27.5,45.48,0.6154281248191014,-0.4896711167727297,29.51032888322727
2017-02-23,27.47,45.45,0.6148402758035505,-0.4744905352713715,29.52550946472863
2017-02-24,27.32,45.17,0.6143185432368339,-0.4287685980077889,29.57123140199221
2017-02-27,27.57,45.4,0.6139258934107977,-0.3022355608502174,29.697764439149783
2017-02-28,27.44,45.13,0.6136063179075276,-0.2520531271667217,29.74794687283328
2017-03-01,28.75,46.56,0.6132326931182845,0.19788580841267134,30.19788580841267
2017-03-02,27.74,45.48,0.6130595664042703,-0.14194908006621176,29.85805091993379
2017-03-03,27.84,45.7,0.6128738988174254,-0.16833717595634212,29.831662824043658
2017-03-06,27.54,45.48,0.612716692740026,-0.32635518581638223,29.673644814183618
2017-03-07,27.37,45.23,0.6125452358209501,-0.33542101618157005,29.66457898381843
2017-03-08,27.37,45.06,0.6124098633969975,-0.22518844466871002,29.77481155533129
2017-03-09,27.49,45.09,0.6123217360303074,-0.11958707760656395,29.880412922393436
2017-03-10,27.16,44.93,0.6123207050879773,-0.3515692796028205,29.64843072039718
2017-03-13,26.96,45.01,0.6121986113885758,-0.5950594985997952,29.404940501400205
2017-03-14,26.75,44.91,0.6119129639882063,-0.7310112127103423,29.268988787289658
2017-03-15,26.45,44.61,0.6114735964233475,-0.8278371364455346,29.172162863554465
2017-03-16,26.65,44.9,0.6110122175865443,-0.7844485696358419,29.215551430364158
2017-03-17,26.35,44.59,0.6105551313256566,-0.8746533058110302,29.12534669418897
2017-03-20,26.185,43.9372,0.609955787784603,-0.6147494390496604,29.38525056095034
2017-03-21,24.91,41.84,0.6093767115825798,-0.5863216126151407,29.41367838738486
