date,PEP,XLP,beta,value,price
2014-06-19,90.1,45.67,1.9473974310844604,1.16235932237268,31.16235932237268
2014-06-20,89.1,45.22,1.9481793716212024,1.0033288152892226,31.003328815289223
2014-06-23,88.39,44.97,1.9486623538841823,0.7586539458283283,30.75865394582833
2014-06-24,88.05,44.81,1.9491547117192811,0.7083773678590006,30.708377367859
2014-06-25,88.58,44.74,1.949562875232369,1.3565569621038094,31.35655696210381
2014-06-26,88.61,44.58,1.9502446018888564,1.668095647794786,31.668095647794786
2014-06-27,88.76,44.655,1.9512293034477888,1.627855454538988,31.627855454538988
2014-06-30,89.34,44.62,1.952305095913615,2.2281466203345133,32.22814662033451
2014-07-01,89.13,44.72,1.9535939773914706,1.76527733105344,31.76527733105344
2014-07-02,89.67,44.84,1.954743218859758,2.019314066328448,32.01931406632845
2014-07-03,90.02,45.09,1.955555412888756,1.8440064328459869,31.844006432845987
2014-07-07,89.86,45.16,1.9566349045317901,1.4983677113443576,31.498367711344358
2014-07-08,89.73,45.07,1.957575957393784,1.5020516002621491,31.50205160026215
2014-07-09,89.77,45.27,1.9583270018104957,1.116536628038844,31.116536628038844
2014-07-10,90.1,45.2,1.9589570523220365,1.5551412350439335,31.555141235043934
2014-07-11,89.85,45.26,1.9598598066155497,1.1467451525802232,31.146745152580223
2014-07-14,91.08,45.42,1.9605512688630018,2.0317613682424565,32.03176136824246
2014-07-15,90.34,45.02,1.9615985255860253,2.028834378117139,32.02883437811714
2014-07-16,90.5,45.03,1.962375805095262,2.1342174965603533,32.13421749656035
2014-07-17,89.99,44.75,1.96308743931965,2.1418370904456623,32.14183709044566
2014-07-18,90.09,45.2,1.9640741239336417,1.313849598199397,31.313849598199397
2014-07-21,89.91,44.99,1.9646225084215485,1.5216333461145268,31.521633346114527
2014-07-22,89.17,44.91,1.9653366189606345,0.9067324424779173,30.906732442477917
2014-07-23,90.82,44.85,1.9659721656003006,2.6461483728265023,32.6461483728265
2014-07-24,91.91,44.97,1.9670538134690694,3.451590008295952,33.45159000829595
2014-07-25,91.55,44.79,1.968707916888442,3.3715724025666844,33.371572402566684
2014-07-28,90.97,44.56,1.970407952756759,3.1686216251588064,33.168621625158806
2014-07-29,90.14,44.36,1.9721417813892534,2.6557905775727164,32.655790577572716
2014-07-30,88.91,43.89,1.9737274997131802,2.283100037588511,32.28310003758851
2014-07-31,88.1,43.1399,1.974975922580197,2.8997361974825537,32.899736197482554
2014-08-01,88.11,43.47,1.976444773602415,2.1939456915030178,32.19394569150302
2014-08-04,89.69,43.61,1.977473813735522,3.452366982993894,33.452366982993894
2014-08-05,89.2,43.42,1.9790756656100899,3.2685345992099,33.2685345992099
2014-08-06,90.51,43.79,1.9805997374948967,3.779537495098481,33.77953749509848
2014-08-07,89.9,43.43,1.9824655554904034,3.80152092505179,33.80152092505179
2014-08-08,90.29,43.87,1.984316293278116,3.2380442138890686,33.23804421388907
2014-08-11,91.79,44.18,1.985971375835146,4.049784615603258,34.04978461560326
2014-08-12,91.21,44.15,1.988076649250857,3.436415935574658,33.43641593557466
2014-08-13,91.74,44.28,1.9898956032307469,3.6274226889425165,33.62742268894252
2014-08-14,91.79,44.46,1.991913695040472,3.2295171185006097,33.22951711850061
2014-08-15,91.85,44.52,1.9938674952174351,3.0830191129197715,33.08301911291977
2014-08-18,92.15,44.78,1.9958221206735118,2.7770854362401423,32.77708543624014
2014-08-19,91.86,44.9,1.9978392304146428,2.1570185543825318,32.15701855438253
2014-08-20,92.23,44.87,1.9996197999610248,2.5070595757488263,32.507059575748826
2014-08-21,92.05,44.95,2.0013916795494824,2.087444004250756,32.087444004250756
2014-08-22,91.6,44.84,2.002791289079483,1.7948385976759766,31.794838597675977
2014-08-25,93.19,45.09,2.0041227476143053,2.824105310070962,32.82410531007096
2014-08-26,92.6,45.06,2.0059101562899806,2.21368835757346,32.21368835757346
2014-08-27,92.23,45.08,2.0075854860126117,1.7280462905514753,31.728046290551475
2014-08-28,92.58,45.1,2.008853210784261,1.9807201936298213,31.98072019362982
2014-08-29,92.49,45.13,2.010655294036922,1.7491265801137104,31.74912658011371
2014-09-02,92.48,45.15,2.012417449139889,1.6193521713340147,31.619352171334015
2014-09-03,92.75,45.18,2.0141985497897523,1.7485095204989847,31.748509520498985
2014-09-04,91.85,45.32,2.0159702329623213,0.486229042147599,30.4862290421476
2014-09-05,91.75,45.58,2.0171394945729517,-0.19121816263513836,29.80878183736486
2014-09-08,91.86,45.24,2.0182186750800284,0.555787139379504,30.555787139379504
2014-09-09,91.42,45.13,2.019557144711503,0.2773860591698707,30.27738605916987
2014-09-10,91.79,45.35,2.020815828350389,0.14600218430986445,30.146002184309864
2014-09-11,91.65,45.37,2.022044277609086,-0.09014887512422831,29.90985112487577
2014-09-12,90.87,45.05,2.023304532696948,-0.2798691979974848,29.720130802002515
2014-09-15,91.2,45.27,2.024324178026005,-0.4411555392372577,29.558844460762742
2014-09-16,92.57,45.61,2.0250510335556537,0.2074223595266318,30.207422359526632
2014-09-17,92.85,45.51,2.026059431314028,0.6440352808985779,30.644035280898578
2014-09-18,93.37,45.6,2.0273203510986404,0.924191989901999,30.924191989902
2014-09-19,93.79,45.43,2.0287104228488184,1.6256854899781814,31.62568548997818
2014-09-22,93.58,45.35,2.0301349540224924,1.5133798350799594,31.51337983507996
2014-09-23,92.93,44.95,2.031404759194226,1.6183560742195482,31.618356074219548
2014-09-24,93.5,45.53,2.0327314273143444,0.9497381143778938,30.949738114377894
2014-09-25,92.67,44.93,2.0335931123973094,1.3006614599888877,31.300661459988888
2014-09-26,93.13,45.1,2.0347492179287467,1.3628102714135082,31.362810271413508
2014-09-29,93.15,45.09,2.0358412472945453,1.3539181594889556,31.353918159488956
2014-09-30,93.09,45.11,2.037010782520967,1.2004436004791756,31.200443600479176
2014-10-01,92.65,44.825,2.0382572218541184,1.2851200303891375,31.285120030389137
2014-10-02,92.58,44.91,2.0395319867773467,0.9846184738293715,30.98461847382937
2014-10-03,93.5,45.44,2.0408592993212187,0.7633534388438221,30.763353438843822
2014-10-06,93.37,45.46,2.041951211224079,0.5428979377533665,30.542897937753366
2014-10-07,93.1,45.19,2.043119343110936,0.7714368848167936,30.771436884816794
2014-10-08,93.94,45.85,2.0440553578681016,0.22006184174753685,30.220061841747537
2014-10-09,93.57,45.39,2.0447667828331277,0.7580357272043301,30.75803572720433
2014-10-10,94.65,45.61,2.045639455601813,1.3483844300013033,31.348384430001303
2014-10-13,93.94,44.98,2.046723458220812,1.878378849227886,31.878378849227886
2014-10-14,93.01,44.96,2.0483290925619206,0.9171239984160451,30.917123998416045
2014-10-15,91.77,44.42,2.0495063294163907,0.7309288473239235,30.730928847323923
2014-10-16,90.79,44.09,2.050843848251703,0.3682947305824058,30.368294730582406
2014-10-17,91.51,44.63,2.05140961509887,-0.04441112186256646,29.955588878137434
2014-10-20,93.55,45.27,2.0515206156944394,0.6776617275127137,30.677661727512714
2014-10-21,93.73,45.46,2.051900069009269,0.4506228628386424,30.450622862838642
2014-10-22,94.46,45.56,2.052240374704077,0.9599285284822372,30.959928528482237
2014-10-23,93.76,45.53,2.052931452853216,0.29003095159308145,30.29003095159308
2014-10-24,94.6,45.91,2.0534732282399295,0.3250440915048358,30.325044091504836
