date,JPM,XLF,beta,value,price
2010-07-12,39.19,14.53,2.6631708280234716,0.494127868818957,30.494127868818957
2010-07-13,40.48,14.89,2.6604686382427927,0.8656219765648103,30.86562197656481
2010-07-14,40.35,14.78,2.6589772311774276,1.0503165231976226,31.050316523197623
2010-07-15,40.46,14.75,2.6583366487913667,1.2495344303273441,31.249534430327344
2010-07-16,39.0,14.129,2.6579901105151076,1.4452577285320487,31.44525772853205
2010-07-19,39.04,14.12,2.658122150770434,1.5073152311214741,31.507315231121474
2010-07-20,39.63,14.27,2.6593838973063977,1.6805917854377057,31.680591785437706
2010-07-21,38.42,14.039,2.6607979711065672,1.065057283634907,31.065057283634907
2010-07-22,39.35,14.45,2.6620110263956107,0.8839406685834277,30.883940668583428
2010-07-23,39.83,14.56,2.66307555259788,1.0556199541748654,31.055619954174865
2010-07-26,40.33,14.76,2.6638259196891503,1.0119294253881392,31.01192942538814
2010-07-27,40.69,14.8,2.6651200218455013,1.2462236766865757,31.246223676686576
2010-07-28,40.32,14.67,2.667151079729057,1.1928936603747289,31.19289366037473
2010-07-29,40.21,14.72,2.669017359232804,0.922064472093119,30.92206447209312
2010-07-30,40.28,14.71,2.670432335985134,0.9979403376586831,30.997940337658683
2010-08-02,41.64,15.08,2.671474514605265,1.3541643197526056,31.354164319752606
2010-08-03,41.08,14.91,2.673017533276921,1.2253085788411084,31.22530857884111
2010-08-04,41.29,14.97,2.673944724098532,1.2610474802449758,31.261047480244976
2010-08-05,41.27,14.91,2.676232009640876,1.367380736254546,31.367380736254546
2010-08-06,40.44,14.78,2.678980254185851,0.8446718431331206,30.84467184313312
2010-08-09,39.82,14.86,2.6816153477209923,-0.028804067133947342,29.971195932866053
2010-08-10,39.17,14.73,2.6833873402062114,-0.35629552123749164,29.64370447876251
2010-08-11,37.77,14.21,2.68454936515935,-0.377446478914365,29.622553521085635
2010-08-12,37.81,14.11,2.6858216379375035,-0.08694331129817101,29.91305668870183
2010-08-13,37.5,14.07,2.6869706498850254,-0.3056770438823051,29.694322956117695
2010-08-16,37.69,14.03,2.6875356109041846,-0.016124620985706883,29.983875379014293
2010-08-17,37.48,14.14,2.6880321563105753,-0.5287746902315433,29.471225309768457
2010-08-18,37.89,14.2,2.686964445853462,-0.26489513111915386,29.735104868880846
2010-08-19,37.07,13.87,2.6865323600209687,-0.19220383349083647,29.807796166509164
2010-08-20,37.14,13.83,2.686212554012614,-0.010319621994447914,29.989680378005552
2010-08-23,36.88,13.74,2.6859647805866107,-0.025156085260029215,29.97484391473997
2010-08-24,36.21,13.51,2.685812372542523,-0.07532515304948362,29.924674846950516
2010-08-25,36.23,13.55,2.6855509752926303,-0.1592157152151472,29.840784284784853
2010-08-26,35.63,13.44,2.685436723552174,-0.4622695645412165,29.537730435458784
2010-08-27,36.6,13.73,2.685232006277362,-0.26823544618817863,29.73176455381182
2010-08-30,35.85,13.44,2.6855037352412845,-0.24317020164286163,29.75682979835714
2010-08-31,36.36,13.5545,2.6856745611482777,-0.042975839084334666,29.957024160915665
