date,PHM,XHB,beta,value,price
2017-12-01,33.94,43.64,0.7132830847916887,2.8123261796907038,32.8123261796907
2017-12-04,34.44,44.14,0.7152624223009812,2.8683166796346846,32.86831667963469
2017-12-05,33.49,43.42,0.7173301518232601,2.343524807834047,32.343524807834044
2017-12-06,33.1,42.96,0.7190213333110146,2.2108435209588144,32.21084352095882
2017-12-07,33.59,43.29,0.7207250004628277,2.3898147299641934,32.38981472996419
2017-12-08,34.1,43.61,0.7225105380342998,2.591315436324191,32.591315436324194
2017-12-11,33.81,43.33,0.7242996648332942,2.426095522773366,32.426095522773366
2017-12-12,33.69,43.21,0.7260261627257433,2.318409508620629,32.31840950862063
2017-12-13,33.32,43.36,0.7276814003484909,1.767734480889434,31.767734480889434
2017-12-14,33.05,43.04,0.7291676204298817,1.666625616697889,31.66662561669789
2017-12-15,33.43,43.28,0.7307391798287453,1.8036082970119054,31.803608297011905
2017-12-18,33.84,43.97,0.7323955147930316,1.6365692145504056,31.636569214550406
2017-12-19,33.37,43.83,0.7339499792592479,1.2009724090671625,31.200972409067163
2017-12-20,33.54,44.19,0.7352787596824729,1.048031609631522,31.048031609631522
2017-12-21,33.77,44.24,0.7366013596404074,1.182755849508375,31.182755849508375
2017-12-22,33.37,44.15,0.7380133774341322,0.7867093862830643,30.786709386283064
2017-12-26,33.56,44.37,0.739194567409598,0.7619370440361379,30.761937044036138
2017-12-27,33.52,44.38,0.740313316330162,0.6648950212674123,30.664895021267412
2017-12-28,33.72,44.55,0.7414553586748315,0.6881637710362583,30.68816377103626
2017-12-29,33.25,44.26,0.7426566252240274,0.38001776758454753,30.380017767584548
2018-01-02,33.37,44.45,0.7437671061686069,0.30955213080542165,30.30955213080542
2018-01-03,34.27,45.13,0.74498897608472,0.6486475092965875,30.648647509296588
2018-01-04,33.83,45.02,0.7463742239557043,0.22823243751418687,30.228232437514187
2018-01-05,34.54,45.42,0.7476101137049826,0.5835486355196835,30.583548635519684
2018-01-08,34.44,45.59,0.7491012031830742,0.28847614688364587,30.288476146883646
2018-01-09,34.65,45.55,0.7504496767648396,0.4670172233615517,30.46701722336155
2018-01-10,33.67,45.02,0.7518183068880905,-0.17686017610183313,29.823139823898167
2018-01-11,34.52,45.85,0.7529384728606506,-0.0022289806608313256,29.99777101933917
2018-01-12,34.48,46.21,0.7541243392377003,-0.36808571617413577,29.631914283825864
2018-01-16,33.76,45.67,0.755088572881759,-0.7248951235099383,29.27510487649006
2018-01-17,34.4,46.3,0.7559135925476704,-0.5987993349571425,29.401200665042857
2018-01-18,34.15,46.07,0.7567648439170601,-0.7141563592589577,29.285843640741042
2018-01-19,34.6,46.58,0.757642015213946,-0.690965068665605,29.309034931334395
2018-01-22,35.15,46.75,0.7585843771851277,-0.3138196334047194,29.68618036659528
2018-01-23,34.93,46.74,0.7594703216262344,-0.5676428328102006,29.4323571671898
2018-01-24,34.81,46.73,0.7598818180309183,-0.6992773565848083,29.30072264341519
2018-01-25,34.26,46.25,0.7601471989693658,-0.8968079523331696,29.10319204766683
2018-01-26,34.52,46.31,0.7602288582669241,-0.6861984263412566,29.313801573658743
2018-01-29,33.43,45.42,0.7604742926470172,-1.1107423720275236,28.889257627972476
2018-01-30,32.72,45.04,0.7604755346267661,-1.5318180795895486,28.46818192041045
2018-01-31,31.83,44.75,0.760276132010633,-2.1923569074758333,27.807643092524167
2018-02-01,31.46,44.45,0.7596495924179302,-2.3064243829769993,27.693575617023
2018-02-02,30.7,43.17,0.7588982909327434,-2.0616392195665334,27.938360780433467
2018-02-05,29.35,41.47,0.7582659290137,-2.0952880761981376,27.904711923801862
2018-02-06,30.16,42.59,0.7576131818463879,-2.1067454148376648,27.893254585162335
2018-02-07,29.91,42.65,0.7568829532994537,-2.3710579582216944,27.628942041778306
2018-02-08,28.67,41.0,0.7559541251432585,-2.324119130873598,27.675880869126402
2018-02-09,28.71,41.22,0.7550394550415448,-2.412726336812476,27.587273663187524
2018-02-12,29.18,41.87,0.7539673629299004,-2.3886134858749273,27.611386514125073
2018-02-13,29.0,41.81,0.7528830099088957,-2.4780386442909297,27.52196135570907
2018-02-14,29.46,42.51,0.7516964356202954,-2.494615478218755,27.505384521781245
2018-02-15,29.5,42.75,0.7505265442371983,-2.5850097661402316,27.41499023385977
2018-02-16,29.74,42.94,0.7492007498545873,-2.430680198755976,27.569319801244024
2018-02-20,29.47,42.41,0.7478969246744812,-2.248308575444746,27.751691424555254
2018-02-21,29.34,42.26,0.7466487837039851,-2.2133775993304106,27.78662240066959
2018-02-22,29.19,42.11,0.7453626257278351,-2.1972201693991344,27.802779830600866
2018-02-23,29.27,42.48,0.7439634840665886,-2.333568803148683,27.666431196851317
2018-02-26,29.34,42.44,0.7426066557391506,-2.176226469569553,27.823773530430447
2018-02-27,28.5,41.49,0.7413297388484514,-2.257770864822252,27.742229135177748
2018-02-28,28.07,40.54,0.7399600890068124,-1.9279820083361763,28.072017991663824
2018-03-01,28.72,40.15,0.738646680477672,-0.9366642211785319,29.063335778821468
2018-03-02,28.95,40.26,0.7376797624889075,-0.7489872378034157,29.251012762196584
2018-03-05,29.31,40.7,0.7367010001956539,-0.6737307079631165,29.326269292036883
2018-03-06,29.9,41.36,0.7358974548874759,-0.5367187341460067,29.463281265853993
2018-03-07,29.62,41.2,0.7351505006338342,-0.6682006261139719,29.331799373886028
2018-03-08,29.52,41.2,0.7342465661535519,-0.73095852552634,29.26904147447366
2018-03-09,30.04,42.04,0.7331942239481994,-0.7834851747823031,29.216514825217697
2018-03-12,30.18,42.09,0.7321360039536433,-0.6356044064088486,29.36439559359115
2018-03-13,30.44,42.17,0.7311278460864458,-0.39166126946541624,29.608338730534584
2018-03-14,29.55,41.68,0.7303706783224825,-0.8918498724810675,29.108150127518932
2018-03-15,28.97,41.32,0.7294379702444302,-1.1703769304998595,28.82962306950014
2018-03-16,29.38,41.54,0.728309677455916,-0.8739840015187532,29.126015998481247
2018-03-19,29.1,41.17,0.7272906710561211,-0.8425569273805067,29.157443072619493
2018-03-20,28.93,40.99,0.7264106670996922,-0.8455732444163822,29.154426755583618
2018-03-21,29.39,41.43,0.7255446722662908,-0.6693157719924265,29.330684228007573
2018-03-22,29.0,40.59,0.7246467729137102,-0.413412512567497,29.586587487432503
2018-03-23,28.65,39.89,0.723960067263975,-0.22876708315996552,29.771232916840034
2018-03-26,29.17,40.93,0.7233123040892406,-0.43517260637261757,29.564827393627382
2018-03-27,29.23,40.31,0.7225926662183605,0.10228962473788883,30.10228962473789
2018-03-28,29.08,40.23,0.7220211130628846,0.033090621480152294,30.033090621480152
2018-03-29,29.49,40.79,0.7215200389349214,0.059197611844552966,30.059197611844553
2018-04-02,28.57,39.5,0.7210230554813006,0.08958930848862678,30.089589308488627
2018-04-03,28.68,40.04,0.7203502309542011,-0.16282324740621235,29.837176752593788
2018-04-04,30.5,41.36,0.7197201848032396,0.73237315653801,30.73237315653801
2018-04-05,30.81,41.76,0.7192316381850662,0.7748867893916369,30.774886789391637
2018-04-06,30.03,40.81,0.7188407518566021,0.6941089167320662,30.694108916732066
2018-04-09,29.86,40.48,0.7183051533634931,0.7830073918457998,30.7830073918458
2018-04-10,29.83,40.87,0.7180455654910661,0.4834777383801274,30.483477738380127
2018-04-11,29.55,40.6,0.7175523655348093,0.41737395928674204,30.417373959286742
2018-04-12,29.11,40.06,0.7171435475418203,0.3812294854746767,30.381229485474677
2018-04-13,29.29,39.99,0.71685732363394,0.622875627878738,30.622875627878738
2018-04-16,29.57,40.36,0.7165665983786973,0.6493720894357793,30.64937208943578
2018-04-17,29.87,40.71,0.7163203926863859,0.7085968137372305,30.70859681373723
2018-04-18,29.95,40.95,0.7160502043115029,0.6277441334439544,30.627744133443954
2018-04-19,28.76,39.93,0.7155514451713572,0.18803079430771064,30.18803079430771
2018-04-20,28.54,39.48,0.7149609534807932,0.31334155657828333,30.313341556578283
2018-04-23,28.82,39.6,0.7144519497774852,0.5277027888115882,30.527702788811588
2018-04-24,29.65,39.1,0.7141106774125172,1.7282725131705732,31.728272513170573
2018-04-25,30.53,39.33,0.7141150210220526,2.4438562232026726,32.44385622320267
2018-04-26,31.07,39.67,0.7146118312775043,2.721348653221405,32.721348653221405
2018-04-27,31.06,39.76,0.7154340211728938,2.6143433181657443,32.614343318165744
2018-04-30,30.36,38.96,0.7165385164984519,2.443659397220312,32.443659397220316
2018-05-01,30.88,39.47,0.7176508911113816,2.5543193278337704,32.55431932783377
2018-05-02,30.56,39.02,0.7187706300138559,2.5135700168593402,32.51357001685934
2018-05-03,30.89,39.12,0.7199332813663308,2.7262100329491403,32.72621003294914
2018-05-04,30.98,39.57,0.721208580699198,2.441776461732733,32.44177646173273
2018-05-07,31.01,39.59,0.7225353038913106,2.4048273189430134,32.40482731894301
2018-05-08,31.17,39.68,0.723878178164985,2.446513890413396,32.4465138904134
2018-05-09,30.76,39.25,0.7253154762122243,2.291367558670199,32.2913675586702
2018-05-10,31.05,39.53,0.7267170509984489,2.3228749740313184,32.32287497403132
2018-05-11,31.32,39.73,0.7282214589777993,2.3877614348120346,32.387761434812035
2018-05-14,30.96,39.62,0.729817979537413,2.044611650727699,32.0446116507277
2018-05-15,29.3,38.79,0.7313699799692187,0.9301584769940092,30.93015847699401
2018-05-16,29.41,38.98,0.732460193277626,0.8587016660381401,30.85870166603814
2018-05-17,29.58,39.32,0.7334872493728356,0.7392813546601005,30.7392813546601
2018-05-18,29.91,39.67,0.7344968700353307,0.7725091656984304,30.77250916569843
