date,PTEN,XES,beta,value,price
2021-01-28,6.23,49.259995,0.11664993636710398,0.4838247178061401,30.48382471780614
2021-01-29,6.15,48.309998,0.11699916155113893,0.49777073946280126,30.4977707394628
2021-02-01,6.36,49.110001,0.1173446027613532,0.5972064410453424,30.597206441045344
2021-02-02,6.44,49.729996,0.11774565702938536,0.5845089469112947,30.584508946911296
2021-02-03,6.69,51.419999,0.11810887321732558,0.6168418572739931,30.616841857273993
2021-02-04,6.07,52.770005,0.11849585871737515,-0.18302705699518018,29.81697294300482
2021-02-05,6.24,52.860001,0.11854006082699452,-0.02602773385499013,29.97397226614501
2021-02-08,6.41,54.520005,0.11867561060809895,-0.060194883731607085,29.939805116268392
2021-02-09,6.21,53.380005,0.11878276444643364,-0.13062456006445,29.86937543993555
2021-02-10,6.29,54.449997,0.11886727815869584,-0.1823229391391541,29.817677060860845
2021-02-11,6.08,52.839997,0.11893971994136822,-0.20477444488273644,29.795225555117263
2021-02-12,6.25,53.369996,0.11897681138769833,-0.09979194785421441,29.900208052145786
2021-02-16,6.35,55.259995,0.11904396372598128,-0.22836884027790738,29.77163115972209
2021-02-17,6.3,55.380005,0.11906397010049405,-0.2937632594852104,29.70623674051479
2021-02-18,6.16,53.419999,0.11902934423613357,-0.19854745006491026,29.80145254993509
2021-02-19,6.28,54.399994,0.11904003086856979,-0.19577696501001096,29.804223034989988
2021-02-22,6.92,56.259995,0.11906676312226051,0.22130450207543895,30.22130450207544
2021-02-23,6.84,55.509995,0.11927328774887054,0.21914039342663472,30.219140393426635
2021-02-24,7.465,58.800004,0.11947801764047815,0.4396920848278141,30.439692084827815
2021-02-25,7.5,58.320008,0.11974913331193161,0.516229587255082,30.516229587255083
2021-02-26,7.4,57.710007,0.12006711222916307,0.47092611278521446,30.470926112785214
2021-03-01,7.91,60.770005,0.12034683377295724,0.5965223098832197,30.59652230988322
2021-03-02,7.59,58.89,0.12069778905084617,0.4821072027956683,30.482107202795667
2021-03-03,7.6,59.520005,0.12099312187936265,0.39848878077472616,30.398488780774727
2021-03-04,8.04,60.380005,0.12122767865820956,0.720272156478913,30.720272156478913
