date,MSFT,XLK,beta,value,price
2013-05-30,35.03,31.96,1.003444396190581,2.9599170977490346,32.959917097749035
2013-05-31,34.9,31.66,1.0061583388248352,3.0450269928057168,33.04502699280572
2013-06-03,35.59,31.82,1.009071043913493,3.4813593826726574,33.48135938267266
2013-06-04,34.99,31.68,1.012293562085973,2.920539953116375,32.920539953116375
2013-06-05,34.78,31.37,1.0153508486723348,2.928443877148858,32.92844387714886
2013-06-06,34.96,31.44,1.0185537093010408,2.936671379575273,32.93667137957527
2013-06-07,35.67,31.73,1.021725669819069,3.2506444966409376,33.25064449664094
2013-06-10,35.47,31.8,1.025119067136248,2.871213665067309,32.87121366506731
2013-06-11,34.84,31.47,1.0283658479737408,2.4773267642663797,32.47732676426638
2013-06-12,35.0,31.26,1.0313328831786814,2.760534071834414,32.760534071834414
2013-06-13,34.715,31.615,1.0344615120459397,2.010499296667618,32.01049929666762
2013-06-14,34.4,31.38,1.0371714272402819,1.853560613199953,31.853560613199953
2013-06-17,35.0,31.67,1.0398461077784105,2.06807376665774,32.06807376665774
2013-06-18,34.98,31.92,1.0425869273644173,1.700625278527795,31.700625278527795
2013-06-19,34.59,31.55,1.045215416320222,1.6134536150969936,31.613453615096994
2013-06-20,33.49,30.85,1.0478262795470081,1.1645592759748027,31.164559275974803
2013-06-21,33.265,30.51,1.0503350754353584,1.21927684846721,31.21927684846721
2013-06-24,33.715,30.14,1.0527432425289944,1.9853186701761096,31.98531867017611
2013-06-25,33.67,30.39,1.0554961893126251,1.5934708067893268,31.593470806789327
2013-06-26,34.35,30.57,1.0579695360458778,2.007871283077513,32.00787128307751
2013-06-27,34.62,30.72,1.0606790961154897,2.035938167332155,32.035938167332155
2013-06-28,34.545,30.585,1.0634284742103588,2.020040116276178,32.02004011627618
2013-07-01,34.36,30.75,1.0661935121968202,1.5745494999477785,31.57454949994778
2013-07-02,33.94,30.8,1.068573747884437,1.0279285651593355,31.027928565159336
2013-07-03,34.01,30.98,1.0708337013004319,0.8355719337126146,30.835571933712615
2013-07-05,34.21,31.18,1.0726258897072636,0.7655247589275262,30.765524758927526
2013-07-08,34.325,31.16,1.0743806987602185,0.8472974266315987,30.8472974266316
2013-07-09,34.35,31.28,1.0768528844091718,0.6660417756811086,30.66604177568111
2013-07-10,34.7,31.38,1.0792570595026092,0.83291347280813,30.83291347280813
2013-07-11,35.685,31.91,1.0815297239056778,1.17338651016982,31.17338651016982
2013-07-12,35.67,31.93,1.0841127045923713,1.0542813423655844,31.054281342365584
2013-07-15,36.17,32.02,1.0863571012214082,1.384845618890509,31.38484561889051
2013-07-16,36.27,32.045,1.0886423496534108,1.3844559053564538,31.384455905356454
2013-07-17,35.74,32.07,1.0904913932002518,0.76794102006793,30.76794102006793
2013-07-18,35.44,31.99,1.0916240248137996,0.5189474462065533,30.518947446206553
2013-07-19,31.4,31.445,1.0929393302918722,-2.9674772410279218,27.03252275897208
2013-07-22,32.01,31.54,1.091853379358078,-2.4270555849537843,27.572944415046216
2013-07-23,31.82,31.411,1.0910015824105073,-2.449450705096446,27.550549294903554
