date,MAS,XHB,beta,value,price
2010-10-28,10.6,15.45,0.7231003856414737,-0.5719009581607697,29.428099041839232
2010-10-29,10.66,15.5,0.7225503611451002,-0.539530597749053,29.460469402250947
2010-11-01,10.75,15.52,0.7219891315823496,-0.4552713221580653,29.544728677841935
2010-11-02,10.81,15.93,0.7213536704552536,-0.6811639703521877,29.318836029647812
2010-11-03,10.78,15.87,0.7203250891364259,-0.6515591645950796,29.348440835404922
2010-11-04,11.34,16.53,0.7193209956751575,-0.5503760585103539,29.449623941489648
2010-11-05,11.56,16.66,0.718423424278245,-0.40893424847556226,29.59106575152444
2010-11-08,11.6,16.63,0.7175895187159365,-0.33351369624602256,29.666486303753977
2010-11-09,11.48,16.26,0.7168714490566667,-0.17632976166140146,29.8236702383386
2010-11-10,11.63,16.49,0.716486185384022,-0.18485719698252012,29.81514280301748
2010-11-11,11.39,16.55,0.7160005717335914,-0.4598094621909379,29.54019053780906
2010-11-12,11.36,16.17,0.7151843612677965,-0.20453112170027055,29.79546887829973
2010-11-15,11.25,15.89,0.7145858805666726,-0.10476964220442753,29.895230357795572
2010-11-16,11.11,15.61,0.7141665969207758,-0.03814057793331038,29.961859422066688
2010-11-17,10.96,15.6,0.7137897726137528,-0.17512045277454114,29.824879547225457
2010-11-18,11.0,15.55,0.7130967639021034,-0.08865467867770782,29.911345321322294
2010-11-19,11.03,15.56,0.7125750352953187,-0.05766754919516082,29.94233245080484
2010-11-22,10.96,15.6,0.7123352743147047,-0.15243027930939235,29.847569720690608
2010-11-23,10.75,15.4,0.7118591619546382,-0.2126310941014271,29.787368905898575
2010-11-24,10.92,15.78,0.7113374248138041,-0.3049045635618288,29.695095436438173
2010-11-26,10.72,15.59,0.7106041317346073,-0.35831841374252704,29.641681586257473
2010-11-29,10.88,15.58,0.709678147958927,-0.17678554520008305,29.823214454799917
2010-11-30,10.91,15.64,0.7089253479264872,-0.1775924415702601,29.822407558429738
2010-12-01,11.68,16.2,0.7081747399517223,0.20756921278209894,30.207569212782097
2010-12-02,12.01,16.65,0.7080992810667726,0.22014697023823793,30.22014697023824
2010-12-03,11.99,16.8,0.7081020795130577,0.0938850641806308,30.093885064180633
2010-12-06,11.99,16.89,0.7079361392773291,0.03295860760591118,30.032958607605913
2010-12-07,12.38,16.93,0.7077872242964629,0.39716229266088376,30.397162292660884
2010-12-08,13.1,16.96,0.707933173040466,1.0934533852336958,31.093453385233694
2010-12-09,13.26,17.02,0.7089444790664255,1.1937649662894376,31.193764966289436
2010-12-10,13.53,17.15,0.7101330638623935,1.3512179547599512,31.351217954759953
2010-12-13,13.25,17.23,0.7114539343897489,0.9916487104646254,30.991648710464624
2010-12-14,13.03,17.13,0.7123580643537152,0.8273063576208592,30.82730635762086
2010-12-15,12.9,17.02,0.7132242086687891,0.7609239684572096,30.76092396845721
2010-12-16,13.14,17.25,0.7140420644367117,0.8227743884667245,30.822774388466726
2010-12-17,13.06,17.11,0.7150090330507969,0.8261954445008666,30.82619544450087
2010-12-20,13.0,17.36,0.7161544047200766,0.5675595340594697,30.56755953405947
2010-12-21,13.06,17.56,0.717042454892169,0.4687344920935139,30.468734492093514
2010-12-22,13.0,17.6525,0.7179225007638209,0.3268730552666508,30.326873055266653
2010-12-23,12.79,17.46,0.7187203174614579,0.2411432571229426,30.241143257122943
2010-12-27,12.79,17.61,0.7194720602368215,0.12009701922957206,30.120097019229572
2010-12-28,12.74,17.43,0.7199646377605724,0.1910163638332243,30.191016363833224
2010-12-29,12.71,17.42,0.7203702871213605,0.16114959834589904,30.1611495983459
2010-12-30,12.83,17.43,0.7206850614165115,0.2684593795102064,30.268459379510205
2010-12-31,12.66,17.39,0.7207516001707244,0.12612967303110345,30.1261296730311
2011-01-03,13.05,17.65,0.7205249177076837,0.3327352024593857,30.332735202459386
2011-01-04,12.85,17.3275,0.7203910916556328,0.36742335933702286,30.367423359337025
2011-01-05,13.14,17.57,0.7201949894385031,0.4861740355655009,30.4861740355655
2011-01-06,13.52,17.69,0.7200514799684355,0.7822893193583731,30.782289319358373
2011-01-07,13.77,17.7675,0.7205000347810718,0.968515632027307,30.968515632027305
2011-01-10,13.71,17.71,0.7213226703603772,0.9353755079177191,30.93537550791772
2011-01-11,13.79,17.94,0.722356156617266,0.8309305502862454,30.830930550286247
2011-01-12,13.78,18.1325,0.7235165541186798,0.6608360824430388,30.66083608244304
2011-01-13,13.75,18.02,0.7245654940880769,0.6933297965328542,30.693329796532854
2011-01-14,14.0,18.3675,0.7257132530242316,0.6704618250774264,30.670461825077425
2011-01-18,13.64,18.32,0.7268301219168082,0.3244721664840746,30.324472166484075
2011-01-19,13.21,17.88,0.7275221415549818,0.201904108996926,30.201904108996928
2011-01-20,13.34,17.86,0.7281477399473782,0.33528136453982427,30.335281364539824
2011-01-21,13.28,17.66,0.7290394270071178,0.4051637190542987,30.4051637190543
2011-01-24,13.36,17.93,0.729915876233998,0.2726083391244156,30.272608339124417
2011-01-25,13.38,17.9625,0.7308285595086166,0.25249199982647674,30.252491999826475
2011-01-26,13.61,18.3125,0.7317152608917397,0.21046428492001645,30.210464284920015
2011-01-27,13.95,18.33,0.7325508709932372,0.5223425346939621,30.522342534693962
