date,WY,IYR,beta,value,price
2013-04-19,29.839997,71.86,0.4423322617078126,-1.9459993263234132,28.054000673676587
2013-04-22,30.049988,71.96,0.4415215047651423,-1.7218994828996372,28.278100517100363
2013-04-23,30.75,72.38,0.4407203672591521,-1.1493401822174256,28.850659817782574
2013-04-24,31.409989,72.61,0.4402077940439211,-0.5534989255291087,29.44650107447089
2013-04-25,31.37999,72.52,0.4400551124934724,-0.5328067580266165,29.467193241973384
2013-04-26,30.529999,72.19,0.43979611298936017,-1.2188823967019076,28.781117603298092
2013-04-29,30.429993,72.75,0.43946064864700163,-1.540769189069369,28.45923081093063
2013-04-30,30.509995,73.46,0.4389447560263708,-1.734886777697195,28.265113222302805
2013-05-01,30.14,72.96,0.43835167393344915,-1.8421381301844448,28.157861869815555
2013-05-02,30.25,73.24,0.4376945062906108,-1.8067456407243299,28.19325435927567
2013-05-03,30.649994,73.3,0.436911744676406,-1.3756368847805547,28.624363115219445
2013-05-06,31.039994,73.59,0.43623787387762275,-1.0627511386542565,28.937248861345743
2013-05-07,31.37999,74.02,0.43580584979013026,-0.8783590014654408,29.12164099853456
2013-05-08,31.329987,74.2,0.43544880241327866,-0.9803141390652819,29.019685860934718
2013-05-09,31.809998,73.82,0.4350840907800645,-0.307909581384358,29.692090418615642
2013-05-10,31.39,73.84,0.43488347551978185,-0.7217958323806926,29.278204167619307
2013-05-13,30.899994,73.95,0.43453535377502583,-1.2338954116631626,28.766104588336837
2013-05-14,32.259995,74.34,0.4340384657558045,-0.0064245442865029645,29.993575455713497
2013-05-15,32.349991,75.0,0.4337986612638269,-0.18490859478701083,29.81509140521299
2013-05-16,31.969986,74.76,0.4335150249978846,-0.4395972688418581,29.560402731158142
2013-05-17,32.479996,75.23,0.4333474833056895,-0.12073516908702686,29.879264830912973
2013-05-20,32.369996,75.19,0.43335573611616407,-0.21402179857437176,29.78597820142563
2013-05-21,32.599991,75.54,0.4332606054465041,-0.1285151354289198,29.87148486457108
2013-05-22,32.329987,73.67,0.4332834163196162,0.40999771973387666,30.409997719733877
2013-05-23,32.049988,72.64,0.4333681696789953,0.5701241545177815,30.57012415451778
2013-05-24,31.739991,72.36,0.433482863208094,0.3731710182623189,30.37317101826232
2013-05-28,31.799988,71.64,0.4335974614347799,0.7370658628123685,30.73706586281237
2013-05-29,30.529999,70.21,0.4337747195495266,0.0746759404277384,30.07467594042774
2013-05-30,29.659989,69.54,0.4337641025691077,-0.5039666926557516,29.49603330734425
2013-05-31,29.819993,68.69,0.4335767093730535,0.037608833164956224,30.037608833164956
2013-06-03,30.059998,68.86,0.43351086762266633,0.20843965550319865,30.2084396555032
2013-06-04,29.229996,68.06,0.43347626387733446,-0.2723985194913858,29.727601480508614
2013-06-05,28.319993,67.33,0.43332430728088606,-0.8557326092220556,29.144267390777944
2013-06-06,29.01999,68.59,0.43300759203110795,-0.680000737413696,29.319999262586304
2013-06-07,29.029999,68.55,0.43276749320837393,-0.6362126594340332,29.363787340565967
2013-06-10,29.099991,67.95,0.4325039984929539,-0.28865569759621934,29.71134430240378
2013-06-11,28.689988,66.91,0.4322416288434025,-0.23129938591205956,29.76870061408794
2013-06-12,27.789994,65.93,0.43205234794613767,-0.69521730008886,29.30478269991114
2013-06-13,28.609986,67.94,0.4318214309224577,-0.7279620168717784,29.27203798312822
2013-06-14,28.289994,68.11,0.4314113752477404,-1.0934347681236005,28.9065652318764
2013-06-17,28.659989,68.2,0.4307968397232287,-0.7203554691241969,29.279644530875803
2013-06-18,28.239991,68.31,0.43038089675700314,-1.159328057470887,28.840671942529113
2013-06-19,27.309998,66.26,0.42984029199403717,-1.1712197475249049,28.828780252475095
2013-06-20,27.029999,63.67,0.4292736048495379,-0.3018514207700811,29.69814857922992
2013-06-21,27.419999,64.42,0.42890429444146855,-0.21001564791940552,29.789984352080594
2013-06-24,27.009995,64.01,0.42855284947450784,-0.4216728948632493,29.57832710513675
